psgc10,name,province,pop2000,pop2010,pop2015,pop2020,g_2000_2010,g_2010_2015,g_2015_2020,residual_rate_2020_2024
0806406000,Liloan,Southern Leyte,19838.0,22817.0,23981.0,24800.0,1.41,0.95,0.71,-11.13
0806407000,City of Maasin ,Southern Leyte,71163.0,81250.0,85560.0,87446.0,1.33,0.99,0.46,-7.18
0806408000,Macrohon,Southern Leyte,23102.0,25386.0,26244.0,26580.0,0.95,0.64,0.27,5.41
0806409000,Malitbog,Southern Leyte,19320.0,22009.0,22923.0,23256.0,1.31,0.78,0.3,-16.73
0806410000,Padre Burgos,Southern Leyte,8926.0,10525.0,11091.0,11159.0,1.66,1.0,0.13,5.17
0806411000,Pintuyan,Southern Leyte,9567.0,9261.0,9826.0,10202.0,-0.32,1.13,0.79,13.2
0806412000,Saint Bernard,Southern Leyte,23089.0,25169.0,28395.0,28414.0,0.87,2.32,0.01,-5.26
0806413000,San Francisco,Southern Leyte,10869.0,12528.0,13402.0,13436.0,1.43,1.29,0.05,-9.39
0806414000,San Juan,Southern Leyte,13510.0,14073.0,14858.0,14912.0,0.41,1.04,0.08,0.97
0806415000,San Ricardo,Southern Leyte,8964.0,10078.0,10494.0,10500.0,1.18,0.77,0.01,-4.25
0806416000,Silago,Southern Leyte,10486.0,12310.0,12775.0,13116.0,1.62,0.71,0.56,25.06
0806417000,Sogod,Southern Leyte,37402.0,41411.0,44986.0,47552.0,1.02,1.59,1.17,0.91
0806418000,Tomas Oppus,Southern Leyte,14930.0,15807.0,16608.0,16990.0,0.57,0.95,0.48,-3.9
0806419000,Limasawa,Southern Leyte,5157.0,5835.0,6061.0,6191.0,1.24,0.73,0.45,9.08
