period,name,change_type,new_code9,mother_or_old_name,old_code9,legal_basis,remarks,sheet,level
July - September 2019,"Barangay South Cembo, City of Taguig",Transfer of barangay,1381500037,,1380300028,,,2001-present,barangay
July - September 2019,"Barangay West Rembo, City of Taguig",Transfer of barangay,1381500038,,1380300032,,,2001-present,barangay
July - September 2019,"Barangay East Rembo, City of Taguig",Transfer of barangay,1381500031,,1380300007,,,2001-present,barangay
July - September 2019,"Barangay Pitogo, City of Taguig",Transfer of barangay,1381500033,,1380300019,,,2001-present,barangay
July - September 2019,"Barangay Rizal, City of Taguig",Transfer of barangay,1381500036,,1380300033,,,2001-present,barangay
July - September 2019,"Barangay Post Proper Northside, City of Taguig",Transfer of barangay,1381500034,,1380300021,,,2001-present,barangay
July - September 2019,"Barangay Post Proper Southside, City of Taguig",Transfer of barangay,1381500035,,1380300022,,,2001-present,barangay
July - September 2019,"Barangay Sta. Cruz, Municipality of Lezo, Aklan",Correction of name,0600408009,Santa Cruz,0600408009,Certification signed by Municipal Mayor dated 17 May 2023,,2001-present,barangay
July - September 2019,"Barangay Sta. Cruz Biga-a, Municipality of Lezo, Aklan",Correction of name,0600408010,Santa Cruz Bigaa,0600408010,Certification signed by Municipal Mayor dated 17 May 2023,,2001-present,barangay
July - September 2019,"Barangay Silakat Nonok, Municipality of Lezo, Aklan",Correction of name,0600408011,Silakat-Nonok,0600408011,Certification signed by Municipal Mayor dated 17 May 2023,,2001-present,barangay
July - September 2019,"Barangay Pooc, City of Santa Rosa, Laguna",Correction of name,0403428016,Pook,0403428016,Certification signed by City Mayor dated 20 March 2023,,2001-present,barangay
July - September 2019,"Barangay Cubcubbuot, City of Candon, Ilocos Sur",Correction of name,0102906019,Cubcubboot,0102906019,Certification signed by City Mayor dated 25 August 2023,,2001-present,barangay
July - September 2019,"Barangay Uauang Tuliao, Municipality of Santo Tomas, Isabela",Correction of name,0203136026,Uauang-Tuliao,0203136026,Certification signed by Municipal Mayor dated 14 June 2023,,2001-present,barangay
July - September 2019,"Barangay Uauang Galicia, Municipality of Santo Tomas, Isabela",Correction of name,0203136027,Uauang-Galicia,0203136027,Certification signed by Municipal Mayor dated 14 June 2023,,2001-present,barangay
July - September 2019,"Barangay Sta. Filomena, Municipality of San Mariano, Isabela",Correction of name,0203131033,Santa Filomina,0203131033,Certification signed by Municipal Mayor dated 19 June 2023,,2001-present,barangay
July - September 2019,"Barangay Laguinbanwa, Municipality of Ibajay, Aklan",Correction of name,0600406014,Laguinbanua,0600406014,Certification signed by Municipal Mayor dated 11 May 2023,,2001-present,barangay
