period,name,change_type,new_code9,mother_or_old_name,old_code9,legal_basis,remarks,sheet,level
January - March 2001,"Province of Zamboanga Sibugay, Region IX",Newly created province,098300000,,,RA 8973,,2001-present,
January - March 2001,"Municipality of Alicia, Zamboanga Sibugay",Transferred Municipality,098301000,Zamboanga del Sur,097301000,RA 8973,,2001-present,city_muni
January - March 2001,"Municipality of Buug, Zamboanga Sibugay",Transferred Municipality,098302000,Zamboanga del Sur,097304000,RA 8973,,2001-present,city_muni
January - March 2001,"Municipality of Diplahan, Zamboanga Sibugay",Transferred Municipality,098303000,Zamboanga del Sur,097339000,RA 8973,,2001-present,city_muni
January - March 2001,"Municipality of Imelda, Zamboanga Sibugay",Transferred Municipality,098304000,Zamboanga del Sur,097336000,RA 8973,,2001-present,city_muni
January - March 2001,"Municipality of Ipil, Zamboanga Sibugay",Transferred Municipality,098305000,Zamboanga del Sur,097309000,RA 8973,,2001-present,city_muni
January - March 2001,"Municipality of Kabasalan, Zamboanga Sibugay",Transferred Municipality,098306000,Zamboanga del Sur,097310000,RA 8973,,2001-present,city_muni
January - March 2001,"Municipality of Mabuhay, Zamboanga Sibugay",Transferred Municipality,098307000,Zamboanga del Sur,097314000,RA 8973,,2001-present,city_muni
January - March 2001,"Municipality of Malangas, Zamboanga Sibugay",Transferred Municipality,098308000,Zamboanga del Sur,097316000,RA 8973,,2001-present,city_muni
January - March 2001,"Municipality of Naga, Zamboanga Sibugay",Transferred Municipality,098309000,Zamboanga del Sur,097320000,RA 8973,,2001-present,city_muni
January - March 2001,"Municipality of Olutanga, Zamboanga Sibugay",Transferred Municipality,098310000,Zamboanga del Sur,097321000,RA 8973,,2001-present,city_muni
January - March 2001,"Municipality of Payao, Zamboanga Sibugay",Transferred Municipality,098311000,Zamboanga del Sur,097335000,RA 8973,,2001-present,city_muni
January - March 2001,"Municipality of Roseller Lim, Zamboanga Sibugay",Transferred Municipality,098312000,Zamboanga del Sur,097342000,RA 8973,,2001-present,city_muni
January - March 2001,"Municipality of Siay, Zamboanga Sibugay",Transferred Municipality,098313000,Zamboanga del Sur,097326000,RA 8973,,2001-present,city_muni
January - March 2001,"Municipality of Talusan, Zamboanga Sibugay",Transferred Municipality,098314000,Zamboanga del Sur,097334000,RA 8973,,2001-present,city_muni
January - March 2001,"Municipality of Titay, Zamboanga Sibugay",Transferred Municipality,098315000,Zamboanga del Sur,097329000,RA 8973,,2001-present,city_muni
January - March 2001,"Municipality of Tungawan, Zamboanga Sibugay",Transferred Municipality,098316000,Zamboanga del Sur,097331000,RA 8973,,2001-present,city_muni
January - March 2001,"City of Vigan, Ilocos Sur",New city,012934000,Municipality of Vigan,,,,2001-present,city_muni
January - March 2001,"City of Candon, Ilocos Sur",New city,012906000,Municipality of Candon,,,,2001-present,city_muni
January - March 2001,"City of Alaminos, Pangasinan",New city,015503000,Municipality of Alaminos,,,,2001-present,city_muni
January - March 2001,"City of Cauayan, Isabela",New city,023108000,Municipality of Cauayan,,,,2001-present,city_muni
January - March 2001,"City of San Fernando, Pampanga",New city,035416000,Municipality of San Fernando,,,,2001-present,city_muni
January - March 2001,"City of Tanauan, Batangas",New city,041031000,Municipality of Tanauan,,,,2001-present,city_muni
January - March 2001,"City of Ligao, Albay",New city,050508000,Municipality of Ligao,,,,2001-present,city_muni
January - March 2001,"City of Tabaco, Albay",New city,050517000,Municipality of Tabaco,,,,2001-present,city_muni
January - March 2001,"City of Escalante, Negros Occidental",New city,064509000,Municipality of Escalante,,,,2001-present,city_muni
January - March 2001,"City of Himamaylan, Negros Occidental",New city,064510000,Municipality of Himamaylan,,,,2001-present,
January - March 2001,"City of Sipalay, Negros Occidental",New city,064527000,Municipality of Sipalay,,,,2001-present,city_muni
January - March 2001,"City of Tanjay, Negros Oriental",New city,074621000,Municipality of Tanjay,,,,2001-present,city_muni
January - March 2001,"City of Valencia, Bukidnon",New city,101321000,Municipality of Valencia,,,,2001-present,city_muni
January - March 2001,"City of Panabo, Davao (Davao del Norte)",New city,112315000,Municipality of Panabo,,,,2001-present,city_muni
January - March 2001,"Bgy. San Rafael in Calaca, Batangas",Re-enlisted,041007038,,,,,2001-present,barangay
January - March 2001,"Bgy. Pedro F. Alviar in Vintas, Ilocos Norte",Correction of name,012823017,Bgy. Diaton,,,,2001-present,barangay
January - March 2001,"Bgy. Domingo Alariio in Laoac, Pangasinan",Correction of name,015548004,Bgy. Cabilaoan East,,,,2001-present,barangay
April - June 2001,"City of Malabon, NCR",New City,997502000,Municipality of Malabon,,,,2001-present,city_muni
April - June 2001,"City of Calamba, Laguna",New City,043405000,Municipality of Calamba,,,,2001-present,city_muni
April - June 2001,"City of Isabela, Basilan",New City,090701000,Municipality of Isabela,,,,2001-present,city_muni
April - June 2001,"Bgy. Napico, City of Pasig",Deletion of Barangay,,,997403031,,,2001-present,barangay
July - December 2001,Region IX (Zamboanga Peninsula),Renaming,090000000,Region IX (Western Mindanao),090000000,Executive No. 36 Series of 2001 dated 19 September 2001,,2001-present,
July - December 2001,Region XI (Davao Region),Renaming,110000000,Region XI (Southern Mindanao),110000000,,,2001-present,
July - December 2001,Region XII (SOCCSKSARGEN),Renaming,120000000,Region XII (Central Mindanao),120000000,,,2001-present,
July - December 2001,"Basilan [except City of Isabela], Autonomous Region in Muslim Mindanao (ARMM)",Transfer of province,970700000,Region IX (Western Mindanao),090700000,,,2001-present,
July - December 2001,"Lanao del Norte, Region X (Northern Mindanao)",Transfer of province,103500000,Region XII (Central Mindanao),123500000,,,2001-present,
July - December 2001,"City of Gapan, Nueva Ecija",New city,034908000,,,,,2001-present,city_muni
July - December 2001,"City of Paglat, Maguindanao",Newly created municipality,973823000,,,,,2001-present,city_muni
July - December 2001,"Bgy. Concordia Sur, Nueva Valencia, Guimaras","Re-enlisted and correction 
of name",067903004,Bgy. Concordia,,,,2001-present,barangay
July - December 2001,"Bgy. Oracon Sur, Nueva Valencia, Guimaras","Re-enlisted and correction 
of name",067905014,Bgy. Oracon,,,,2001-present,barangay
July - December 2001,"Bgy. Concordia Norte, Sibunag, Guimaras",Correction of name,067905004,Bgy. Concordia,,,,2001-present,barangay
July - December 2001,"Bgy. Oracon Norte, Sibunag, Guimaras",Correction of name,067905009,Bgy. Oracon,,,,2001-present,barangay
January - June 2002,"Region IV-A, CALABARZON",Fragmentation of a region,040000000,Region IV (Southern Tagalog),,EO 103,,2001-present,
January - June 2002,"Region IV-B, MIMAROPA",Fragmentation of a region,170000000,Region IV (Southern Tagalog),040000000,EO 103,,2001-present,
January - June 2002,"Bgy. Dr. Pedro T. Orata, City of Urdaneta",Correction of name,015546003,Bgy. Bactad Proper,,SB Res. No. 96,,2001-present,barangay
January - June 2002,"Bgy. Santa Isabel, Dinalupihan, Bataan",Correction of name,030804040,Bgy. Tabacan,,SB Res. No. 114-84,,2001-present,barangay
January - June 2002,"Bgy. San Fernando, Basey, Samar",Correction of name,086002030,Bgy. Nouvelas Orienal,,"SB Res. No. 60 s. 1991 and 
Mun. Ord. No. 3 s. 1991",,2001-present,barangay
January - June 2002,"Bgy. Ugalingan, Carmen, North Cotabato",Correction of name,124702020,Bgy. Lumayong,,"SB Res. No. 152 and
Ord. No. 45",,2001-present,barangay
January - June 2002,"Bgy. Serna, Surigao City",Correction of name,136724005,Bgy. Bad-asay,,"SP Res. No. 152 and
Ord. No. 45",,2001-present,barangay
January - June 2002,"Bgy. Benigno Aquino, Hinatuan, Surigao del Sur",Correction of name,136809041,Bgy. Zone I,,SB Res. No. 1842,,2001-present,barangay
July - December 2002,"City of Malolos, Bulacan",New city,031410000,,,RA 8754,,2001-present,
July - December 2002,"Bgy. Friendship Village Resources (FVR), Bulacan",Newly created barangay,031413033,,,,,2001-present,barangay
July - December 2002,"Bgy. Macalino, Calanasan, Apayao",Newly created barangay,988101017,,,,,2001-present,barangay
July - December 2002,"Bgy. Santa Elena, Calanasan, Apayao",Newly created barangay,988101018,,,,,2001-present,barangay
July - December 2002,"Bgy. Bulanao Norte, Tabuk, Kalinga",Newly created barangay,983213008,,,,,2001-present,barangay
July - December 2002,"Bgy. Ipil, Tabuk, Kalinga",Newly created barangay,,,,,,2001-present,
July - December 2002,"Bgy. De Carabao, Culion, Palawan",Newly created barangay,145322014,,,,,2001-present,barangay
July - December 2002,"Bgy. Upper Lasangan, Gen. S. K. Pendatun, Maguindanao",Newly created barangay,973819022,,,,,2001-present,barangay
July - December 2002,"Bgy. Quipolot, Gen. S. K. Pendatun, Maguindanao",Newly created barangay,973819019,,,,,2001-present,barangay
July - December 2002,"Bgy. Pidtiguian, Gen. S. K. Pendatun, Maguindanao",Newly created barangay,973819018,,,,,2001-present,barangay
July - December 2002,"Bgy. Sumakubay, Gen. S. K. Pendatun, Maguindanao",Newly created barangay,973819021,,,,,2001-present,barangay
July - December 2002,"Bgy. Sadangin, Gen. S. K. Pendatun, Maguindanao",Newly created barangay,973819020,,,,,2001-present,barangay
July - December 2002,"Bgy. Santo Rosario, Floridablanca, Pampanga",Correction of name,035406015,Bgy. Malabo,,SB Ord. No. 5,,2001-present,barangay
July - December 2002,"Bgy. J. U. Tienzo, Lupao, Nueva Ecija",Correction of name,034916006,Bgy. Arimal,,SB Ord. No. 4,,2001-present,barangay
July - December 2002,"Bgy. Burabod, Culion, Palawan",Transfer of barangay,145322012,Municipality of Busuanga,045307016,,,2001-present,barangay
July - December 2002,"Bgy. Halsey, Culion, Palawan",Transfer of barangay,145322013,Municipality of Busuanga,045307017,,,2001-present,barangay
January - June 2003,"Municipality of Sultan Mastura, Maguindanao",Newly created municipality,153824000,,,MMA Act No. 89,,2001-present,city_muni
January - June 2003,"Municipality of Guindulungan, Maguindanao",Newly created municipality,153825000,,,MMA Act No. 139,,2001-present,city_muni
January - June 2003,"Bgy. Pulung Bulu, City of San Fernando",Newly created barangay,035416038,,,Prov. Ord. No. 2202-110,,2001-present,barangay
January - June 2003,"Bgy. Datu Maguiales, Municipality of Palimbang",Newly created barangay,126509044,,,"Res. No. 126 9th SP -01 and 
SP Ord. No. 19",,2001-present,barangay
January - June 2003,"Bgy. Santa Cruz, Municipality of Tampakan",Newly created barangay,126314014,,,Res. No. 2 s. 1988 and Res. No. 170,,2001-present,barangay
January - June 2003,"Bgy. Balut, Sultan Mastura, Maguindanao",Transferred barangay,153824001,Municipality of Sultan Kudarat,973812001,MMA Act No. 89,,2001-present,barangay
January - June 2003,"Bgy. Boliok, Sultan Mastura, Maguindanao",Transferred barangay,153824002,Municipality of Sultan Kudarat,973812005,MMA Act No. 89,,2001-present,barangay
January - June 2003,"Bgy. Bungabong, Sultan Mastura, Maguindanao",Transferred barangay,153824003,Municipality of Sultan Kudarat,973812008,MMA Act No. 89,,2001-present,barangay
January - June 2003,"Bgy. Dagurongan, Sultan Mastura, Maguindanao",Transferred barangay,153824004,Municipality of Sultan Kudarat,973812011,MMA Act No. 89,,2001-present,barangay
January - June 2003,"Bgy. Kirkir, Sultan Mastura, Maguindanao",Transferred barangay,153824005,Municipality of Sultan Kudarat,973812022,MMA Act No. 89,,2001-present,barangay
January - June 2003,"Bgy. Macabiso, Sultan Mastura, Maguindanao",Transferred barangay,153824006,Municipality of Sultan Kudarat,973812025,MMA Act No. 89,,2001-present,barangay
January - June 2003,"Bgy. Namuken, Sultan Mastura, Maguindanao",Transferred barangay,153824007,Municipality of Sultan Kudarat,973812032,MMA Act No. 89,,2001-present,barangay
January - June 2003,"Bgy. Simuay Seashore, Sultan Mastura, Maguindanao",Transferred barangay,153824008,Municipality of Sultan Kudarat,973812045,MMA Act No. 89,,2001-present,barangay
January - June 2003,"Bgy. Solon, Sultan Mastura, Maguindanao",Transferred barangay,153824009,Municipality of Sultan Kudarat,973812046,MMA Act No. 89,,2001-present,barangay
January - June 2003,"Bgy. Tambo, Sultan Mastura, Maguindanao",Transferred barangay,153824010,Municipality of Sultan Kudarat,973812047,MMA Act No. 89,,2001-present,barangay
January - June 2003,"Bgy. Tapayan, Sultan Mastura, Maguindanao",Transferred barangay,153824011,Municipality of Sultan Kudarat,973812048,MMA Act No. 89,,2001-present,barangay
January - June 2003,"Bgy. Tariken, Sultan Mastura, Maguindanao",Transferred barangay,153824012,Municipality of Sultan Kudarat,973812049,MMA Act No. 89,,2001-present,barangay
January - June 2003,"Bgy. Tuka, Sultan Mastura, Maguindanao",Transferred barangay,153824013,Municipality of Sultan Kudarat,973812050,MMA Act No. 89,,2001-present,barangay
January - June 2003,"Bgy. Ahan, Guindulungan, Maguindanao",Transferred barangay,153825001,Municipality of Talayan,973816002,MMA Act No. 139,,2001-present,barangay
January - June 2003,"Bgy. Bagan, Guindulungan, Maguindanao",Transferred barangay,153825002,Municipality of Talayan,973816003,MMA Act No. 139,,2001-present,barangay
January - June 2003,"Bgy. Datalpandan, Guindulungan, Maguindanao",Transferred barangay,153825003,Municipality of Talayan,973816040,MMA Act No. 139,,2001-present,barangay
January - June 2003,"Bgy. Kalumamis, Guindulungan, Maguindanao",Transferred barangay,153825004,Municipality of Talayan,973816011,MMA Act No. 139,,2001-present,barangay
January - June 2003,"Bgy. Kateman, Guindulungan, Maguindanao",Transferred barangay,153825005,Municipality of Talayan,973816012,MMA Act No. 139,,2001-present,barangay
January - June 2003,"Bgy. Lambayao, Guindulungan, Maguindanao",Transferred barangay,153825006,Municipality of Talayan,973816020,MMA Act No. 139,,2001-present,barangay
January - June 2003,"Bgy. Macasampen, Guindulungan, Maguindanao",Transferred barangay,153825007,Municipality of Talayan,973816021,MMA Act No. 139,,2001-present,barangay
January - June 2003,"Bgy. Muslim, Guindulungan, Maguindanao",Transferred barangay,153825008,Municipality of Talayan,973816027,MMA Act No. 139,,2001-present,barangay
January - June 2003,"Bgy. Muti, Guindulungan, Maguindanao",Transferred barangay,153825009,Municipality of Talayan,973816001,MMA Act No. 139,,2001-present,barangay
January - June 2003,"Bgy. Sampao, Guindulungan, Maguindanao",Transferred barangay,153825010,Municipality of Talayan,973816031,MMA Act No. 139,,2001-present,barangay
January - June 2003,"Bgy. Tambunan II, Guindulungan, Maguindanao",Transferred barangay,153825011,Municipality of Talayan,973816037,MMA Act No. 139,,2001-present,barangay
January - June 2003,"Bgy. Lapu-Lapu, Malalag, Davao del Sur",Correction of name,112408010,,,SP Ord. No. 18 s. 1990,,2001-present,barangay
July - December 2003,"Municipality of Datu Saudi-Ampatuan, Maguindanao",Newly created municipality,153826000,,,MMA Act No. 151,,2001-present,city_muni
July - December 2003,"Municipality of Datu Unday, Maguindanao",Newly created municipality,153827000,,,MMA Act No. 150,,2001-present,city_muni
July - December 2003,"Bgy. Cristo Rey, Capas, Tarlac",Newly created barangay,036904025,,,P.O. No. 004-2003,,2001-present,barangay
July - December 2003,"Bgy. San Carlos, Binangonan, Rizal",Newly created barangay,045804041,,,,,2001-present,barangay
July - December 2003,"Bgy. H-2, Dasmariñas, Cavite",Newly created barangay,042106080,,,,,2001-present,barangay
July - December 2003,"Bgy. Victoria Reyes, Dasmariñas, Cavite",Newly created barangay,042106081,,,,,2001-present,barangay
July - December 2003,"Bgy. Labu-labu I, Shariff Aguak, Maguindanao",Newly created barangay,153808044,,,,,2001-present,barangay
July - December 2003,"Bgy. Labu-labu II, Shariff Aguak, Maguindanao",Newly created barangay,153808045,,,,,2001-present,barangay
July - December 2003,"Bgy. Kubentong, Shariff Aguak, Maguindanao",Newly created barangay,153808043,,,,,2001-present,barangay
July - December 2003,"Bgy. Sayap, Shariff Aguak, Maguindanao",Newly created barangay,153808048,,,,,2001-present,barangay
July - December 2003,"Bgy. Poblacion I, Shariff Aguak, Maguindanao",Newly created barangay,153808046,,,,,2001-present,barangay
July - December 2003,"Bgy. Poblacion II, Shariff Aguak, Maguindanao",Newly created barangay,153808047,,,,,2001-present,barangay
July - December 2003,"Bgy. Bakat, Datu Saudi-Ampatuan, Maguindanao",Transferred barangay,153826001,Municipality of Datu Piang,153806004,MMA Act No. 151,,2001-present,barangay
July - December 2003,"Bgy. Dapiawan, Datu Saudi-Ampatuan, Maguindanao",Transferred barangay,153826002,Municipality of Datu Piang,153806012,MMA Act No. 151,,2001-present,barangay
July - December 2003,"Bgy. Elian, Datu Saudi-Ampatuan, Maguindanao",Transferred barangay,153826003,Municipality of Datu Piang,153806016,MMA Act No. 151,,2001-present,barangay
July - December 2003,"Bgy. Ganta, Datu Saudi-Ampatuan, Maguindanao",Transferred barangay,153826004,Municipality of Datu Piang,153806017,MMA Act No. 151,,2001-present,barangay
July - December 2003,"Bgy. Gawang, Datu Saudi-Ampatuan, Maguindanao",Transferred barangay,153826005,Municipality of Datu Piang,153806018,MMA Act No. 151,,2001-present,barangay
July - December 2003,"Bgy. Inaladan, Datu Saudi-Ampatuan, Maguindanao",Transferred barangay,153826006,Municipality of Datu Piang,153806019,MMA Act No. 151,,2001-present,barangay
July - December 2003,"Bgy. Kabengi, Datu Saudi-Ampatuan, Maguindanao",Transferred barangay,153826007,Municipality of Datu Piang,153806020,MMA Act No. 151,,2001-present,barangay
July - December 2003,"Bgy. Kitango, Datu Saudi-Ampatuan, Maguindanao",Transferred barangay,153826008,Municipality of Datu Piang,153806023,MMA Act No. 151,,2001-present,barangay
July - December 2003,"Bgy. Kitapok, Datu Saudi-Ampatuan, Maguindanao",Transferred barangay,153826009,Municipality of Datu Piang,153806024,MMA Act No. 151,,2001-present,barangay
July - December 2003,"Bgy. Madia, Datu Saudi-Ampatuan, Maguindanao",Transferred barangay,153826010,Municipality of Datu Piang,153806026,MMA Act No. 151,,2001-present,barangay
July - December 2003,"Bgy. Pagatin, Datu Saudi-Ampatuan, Maguindanao",Transferred barangay,153826011,Municipality of Datu Piang,153806031,MMA Act No. 151,,2001-present,barangay
July - December 2003,"Bgy. Penditen, Datu Saudi-Ampatuan, Maguindanao",Transferred barangay,153826012,Municipality of Datu Piang,153806033,MMA Act No. 151,,2001-present,barangay
July - December 2003,"Bgy. Salbu, Datu Saudi-Ampatuan, Maguindanao",Transferred barangay,153826013,Municipality of Datu Piang,153806036,MMA Act No. 151,,2001-present,barangay
July - December 2003,"Bgy. Sambulawan, Datu Saudi-Ampatuan, Maguindanao",Transferred barangay,153826014,Municipality of Datu Piang,153806037,MMA Act No. 151,,2001-present,barangay
July - December 2003,"Bgy. Bulayan, Datu Unsay, Maguindanao",Transferred barangay,153827001,Municipality of Shariff Aguak,153808005,MMA Act No. 150,,2001-present,barangay
July - December 2003,"Bgy. Iginagampong, Datu Unsay, Maguindanao",Transferred barangay,153827002,Municipality of Shariff Aguak,153808001,MMA Act No. 150,,2001-present,barangay
July - December 2003,"Bgy. Macalag, Datu Unsay, Maguindanao",Transferred barangay,153827003,Municipality of Shariff Aguak,153808019,MMA Act No. 150,,2001-present,barangay
July - December 2003,"Bgy. Malangog, Datu Unsay, Maguindanao",Transferred barangay,153827004,Municipality of Shariff Aguak,153808022,MMA Act No. 150,,2001-present,barangay
July - December 2003,"Bgy. Maitumaig, Datu Unsay, Maguindanao",Transferred barangay,153827005,Municipality of Shariff Aguak,153808021,MMA Act No. 150,,2001-present,barangay
July - December 2003,"Bgy. Meta, Datu Unsay, Maguindanao",Transferred barangay,153827006,Municipality of Shariff Aguak,153808026,MMA Act No. 150,,2001-present,barangay
July - December 2003,"Bgy. Pamalian, Datu Unsay, Maguindanao",Transferred barangay,153827007,Municipality of Shariff Aguak,153808029,MMA Act No. 150,,2001-present,barangay
July - December 2003,"Bgy. Panangeti, Datu Unsay, Maguindanao",Transferred barangay,153827008,Municipality of Shariff Aguak,153808030,MMA Act No. 150,,2001-present,barangay
July - December 2003,"Bgy. Pikeg, Datu Unsay, Maguindanao",Transferred barangay,153827009,Municipality of Shariff Aguak,153808032,MMA Act No. 150,,2001-present,barangay
July - December 2003,"Bgy. Tuntungan, Datu Unsay, Maguindanao",Transferred barangay,153827010,Municipality of Shariff Aguak,153808041,MMA Act No. 150,,2001-present,barangay
January - July 2004,"City of Santa Rosa, Laguna",New city,043428000,,,RA 9264,,2001-present,city_muni
January - July 2004,"Municipality of Datu Abdullah Sangki, Maguindanao",Newly created municipality,153828000,,,MMA No. 153,,2001-present,city_muni
January - July 2004,"Municipality of San Isidro, Davao del Norte",Newly created municipality,112324000,,,RA 9265,,2001-present,city_muni
January - July 2004,"Bgy. Alfonso Angliongto Sr., Davao del Sur",Newly created barangay,112402197,,,Davao City Council Res. No. 02565-03 and Davao del Sur SP Ord. No. 0161-03,,2001-present,barangay
January - July 2004,"Bgy. Vicente Hizon Sr., Davao del Sur",Newly created barangay,112402198,,,,,2001-present,barangay
January - July 2004,"Bgy. Banaba, Datu Abdullah Sangki, Maguindanao",Transferred barangay,153828001,Municipality of Ampatuan,153801002,MMA No. 153,,2001-present,barangay
January - July 2004,"Bgy. Dimampao, Datu Abdullah Sangki, Maguindanao",Transferred barangay,153828002,Municipality of Ampatuan,153801005,MMA No. 153,,2001-present,barangay
January - July 2004,"Bgy. Guinibon, Datu Abdullah Sangki, Maguindanao",Transferred barangay,153828003,Municipality of Ampatuan,153801009,MMA No. 153,,2001-present,barangay
January - July 2004,"Bgy. Kaya-kaya, Datu Abdullah Sangki, Maguindanao",Transferred barangay,153828004,Municipality of Ampatuan,153801016,MMA No. 153,,2001-present,barangay
January - July 2004,"Bgy. Maganoy, Datu Abdullah Sangki, Maguindanao",Transferred barangay,153828005,Municipality of Ampatuan,153801017,MMA No. 153,,2001-present,barangay
January - July 2004,"Bgy. Mao, Datu Abdullah Sangki, Maguindanao",Transferred barangay,153828006,Municipality of Ampatuan,153801019,MMA No. 153,,2001-present,barangay
January - July 2004,"Bgy. Maranding, Datu Abdullah Sangki, Maguindanao",Transferred barangay,153828007,Municipality of Ampatuan,153801020,MMA No. 153,,2001-present,barangay
January - July 2004,"Bgy. Sugadol, Datu Abdullah Sangki, Maguindanao",Transferred barangay,153828008,Municipality of Ampatuan,153801029,MMA No. 153,,2001-present,barangay
January - July 2004,"Bgy. Talisawa, Datu Abdullah Sangki, Maguindanao",Transferred barangay,153828009,Municipality of Ampatuan,153801030,MMA No. 153,,2001-present,barangay
January - July 2004,"Bgy. Tukanolocong, Datu Abdullah Sangki, Maguindanao",Transferred barangay,153828010,Municipality of Ampatuan,153801034,MMA No. 153,,2001-present,barangay
January - July 2004,"Bgy. Igangon, San Isidro, Davao del Norte",Transferred barangay,112324003,Municipality of Asuncion,112301016,RA 9265,,2001-present,barangay
January - July 2004,"Bgy. Kipalili, San Isidro, Davao del Norte",Transferred barangay,112324004,Municipality of Asuncion,112301022,RA 9265,,2001-present,barangay
January - July 2004,"Bgy. Mamangan, San Isidro, Davao del Norte",Transferred barangay,112324007,Municipality of Asuncion,112301042,RA 9265,,2001-present,barangay
January - July 2004,"Bgy. Sabangan, San Isidro, Davao del Norte",Transferred barangay,112324010,Municipality of Asuncion,112301033,RA 9265,,2001-present,barangay
January - July 2004,"Bgy. Sawata, San Isidro, Davao del Norte",Transferred barangay,112324013,Municipality of Asuncion,112301038,RA 9265,,2001-present,barangay
January - July 2004,"Bgy. Santo Niño, San Isidro, Davao del Norte",Transferred barangay,112324012,Municipality of Asuncion,112301041,RA 9265,,2001-present,barangay
January - July 2004,"Bgy. Dacudao, San Isidro, Davao del Norte",Transferred barangay,112324001,Municipality of Kapalong,112305029,RA 9265,,2001-present,barangay
January - July 2004,"Bgy. Datu Balong, San Isidro, Davao del Norte",Transferred barangay,112324002,Municipality of Kapalong,112305030,RA 9265,,2001-present,barangay
January - July 2004,"Bgy. Libuton, San Isidro, Davao del Norte",Transferred barangay,112324005,Municipality of Kapalong,112305031,RA 9265,,2001-present,barangay
January - July 2004,"Bgy. Pinamuno, San Isidro, Davao del Norte",Transferred barangay,112324009,Municipality of Kapalong,112305032,RA 9265,,2001-present,barangay
January - July 2004,"Bgy. Monte Dujali, San Isidro, Davao del Norte",Transferred barangay,112324008,Municipality of Kapalong,112305027,RA 9265,,2001-present,barangay
January - July 2004,"Bgy. Linao, San Isidro, Davao del Norte",Transferred barangay,112324006,Municipality of Kapalong,112305011,RA 9265,,2001-present,barangay
January - July 2004,"Bgy. San Miguel, San Isidro, Davao del Norte",Transferred barangay,112324011,Municipality of Kapalong,112305023,RA 9265,,2001-present,barangay
August - September 2004,"Municipality of Rajah Buayan, Maguindanao",Newly created municipality,153829000,,,MMA No. 166,,2001-present,city_muni
August - September 2004,"Bgy. Bakat, Rajah Buayan, Maguindanao",Transferred barangay,153829002,Municipality of Sultan sa Barongis,153813002,MMA No. 166,,2001-present,barangay
August - September 2004,"Bgy. Baital, Rajah Buayan, Maguindanao",Transferred barangay,153829001,Municipality of Sultan sa Barongis,153813047,MMA No. 166,,2001-present,barangay
August - September 2004,"Bgy. Dapantis, Rajah Buayan, Maguindanao",Transferred barangay,153829003,Municipality of Sultan sa Barongis,153813048,MMA No. 166,,2001-present,barangay
August - September 2004,"Bgy. Gaunan, Rajah Buayan, Maguindanao",Transferred barangay,153829004,Municipality of Sultan sa Barongis,153813049,MMA No. 166,,2001-present,barangay
August - September 2004,"Bgy. Malibpolok, Rajah Buayan, Maguindanao",Transferred barangay,153829005,Municipality of Sultan sa Barongis,153813018,MMA No. 166,,2001-present,barangay
August - September 2004,"Bgy. Mileb, Rajah Buayan, Maguindanao",Transferred barangay,153829006,Municipality of Sultan sa Barongis,153813024,MMA No. 166,,2001-present,barangay
August - September 2004,"Bgy. Panadtaban, Rajah Buayan, Maguindanao",Transferred barangay,153829007,Municipality of Sultan sa Barongis,153813027,MMA No. 166,,2001-present,barangay
August - September 2004,"Bgy. Pidsandawan, Rajah Buayan, Maguindanao",Transferred barangay,153829008,Municipality of Sultan sa Barongis,153813031,MMA No. 166,,2001-present,barangay
August - September 2004,"Bgy. Sampao, Rajah Buayan, Maguindanao",Transferred barangay,153829009,Municipality of Sultan sa Barongis,153813038,MMA No. 166,,2001-present,barangay
August - September 2004,"Bgy. Sapakan, Rajah Buayan, Maguindanao",Transferred barangay,153829010,Municipality of Sultan sa Barongis,153813035,MMA No. 166,,2001-present,barangay
August - September 2004,"Bgy. Tabungao, Rajah Buayan, Maguindanao",Transferred barangay,153829011,Municipality of Sultan sa Barongis,153813041,MMA No. 166,,2001-present,barangay
October - December 2004,Taguig City,New city,137607000,,,RA 8487 and COMELEC Res. On the EPC No. 98-102,,2001-present,city_muni
October - December 2004,"Bgy. Fortune, Marikina City",Newly created barangay,137402015,,,Marikina City Ord. No. 95,,2001-present,barangay
January - June 2005,"Bgy. San Isidro, Titay, Zamboanga Sibugay",Newly created barangay,098315032,,,Prov. Ord. No. 2002-122,,2001-present,barangay
January - June 2005,"Bgy. Calabuso South, Tagaytay City",Deletion of barangay,,,042119007,,put on hold,2001-present,barangay
July - September 2005,Palawan,Transferred province,175300000,Region VI (Western Visayas),065300000,,,2001-present,
October - December 2005,"Municipality of Lumbaca-Unayan, Lanao del Sur",Newly created municipality,153641000,,,MMA Act No. 106,,2001-present,city_muni
October - December 2005,"Bgy. Lumbac-Dimarao, Maguing, Lanao del Sur",Newly created barangay,153634056,,,,,2001-present,barangay
October - December 2005,"Bgy. Pindolonan, Maguing, Lanao del Sur",Newly created barangay,153634057,,,,,2001-present,barangay
October - December 2005,"Bgy. Crossing, Kitcharao, Agusan del Norte",Newly created barangay,160206010,,,,,2001-present,barangay
October - December 2005,"Bgy. Songkoy, Kitcharao, Agusan del Norte",Newly created barangay,160206011,,,,,2001-present,barangay
October - December 2005,"Bgy. Bangon, Lumbaca-Unayan, Lanao del Sur",Transferred barangay,153641001,Municipality of Lumbatan,153612007,MMA Act No. 106,,2001-present,barangay
October - December 2005,"Bgy. Beta, Lumbaca-Unayan, Lanao del Sur",Transferred barangay,153641002,Municipality of Lumbatan,153612009,MMA Act No. 106,,2001-present,barangay
