user_country,friend_country,user_region,friend_region,scaled_sci
PH,PH,PHL.23_1,PHL.2_1,5696
PH,PH,PHL.63_1,PHL.47_1,8735
PH,PH,PHL.47_1,PHL.63_1,8735
PH,PH,PHL.52_1,PHL.48_1,19477
PH,PH,PHL.48_1,PHL.52_1,19477
PH,PH,PHL.69_1,PHL.25_1,5022
PH,PH,PHL.25_1,PHL.69_1,5022
PH,PH,PHL.8_1,PHL.61_1,14032
PH,PH,PHL.61_1,PHL.8_1,14032
PH,PH,PHL.52_1,PHL.47_1,11819
PH,PH,PHL.47_1,PHL.52_1,11819
PH,PH,PHL.9_1,PHL.44_1,55854
PH,PH,PHL.44_1,PHL.9_1,55854
PH,PH,PHL.78_1,PHL.75_1,6002
PH,PH,PHL.75_1,PHL.78_1,6002
PH,PH,PHL.30_1,PHL.2_1,99442
PH,PH,PHL.2_1,PHL.30_1,99442
PH,PH,PHL.6_1,PHL.61_1,5467
PH,PH,PHL.61_1,PHL.6_1,5467
PH,PH,PHL.65_1,PHL.5_1,9731
PH,PH,PHL.5_1,PHL.65_1,9731
PH,PH,PHL.78_1,PHL.41_1,6320
PH,PH,PHL.41_1,PHL.78_1,6320
PH,PH,PHL.61_1,PHL.58_1,6687
PH,PH,PHL.58_1,PHL.61_1,6687
PH,PH,PHL.45_1,PHL.41_1,4634
PH,PH,PHL.41_1,PHL.45_1,4634
PH,PH,PHL.50_1,PHL.19_1,5603
PH,PH,PHL.19_1,PHL.50_1,5603
PH,PH,PHL.6_1,PHL.60_1,6011
PH,PH,PHL.60_1,PHL.6_1,6011
PH,PH,PHL.73_1,PHL.3_1,9951
PH,PH,PHL.3_1,PHL.73_1,9951
PH,PH,PHL.77_1,PHL.27_1,6735
PH,PH,PHL.27_1,PHL.77_1,6735
PH,PH,PHL.47_1,PHL.45_1,30874
PH,PH,PHL.45_1,PHL.47_1,30874
PH,PH,PHL.70_1,PHL.44_1,48936
PH,PH,PHL.44_1,PHL.70_1,48936
PH,PH,PHL.78_1,PHL.72_1,5026
PH,PH,PHL.72_1,PHL.78_1,5026
PH,PH,PHL.40_1,PHL.11_1,11445
PH,PH,PHL.11_1,PHL.40_1,11445
PH,PH,PHL.58_1,PHL.51_1,6972
PH,PH,PHL.51_1,PHL.58_1,6972
PH,PH,PHL.5_1,PHL.50_1,5763
PH,PH,PHL.50_1,PHL.5_1,5763
PH,PH,PHL.58_1,PHL.23_1,8440
PH,PH,PHL.23_1,PHL.58_1,8440
PH,PH,PHL.6_1,PHL.18_1,5208
PH,PH,PHL.18_1,PHL.6_1,5208
PH,PH,PHL.61_1,PHL.2_1,4823
PH,PH,PHL.2_1,PHL.61_1,4823
PH,PH,PHL.56_1,PHL.39_1,30818
PH,PH,PHL.39_1,PHL.56_1,30818
PH,PH,PHL.7_1,PHL.23_1,5799
PH,PH,PHL.23_1,PHL.7_1,5799
PH,PH,PHL.32_1,PHL.25_1,8369
PH,PH,PHL.25_1,PHL.32_1,8369
PH,PH,PHL.25_1,PHL.25_1,414887
PH,PH,PHL.62_1,PHL.35_1,4855
PH,PH,PHL.35_1,PHL.62_1,4855
PH,PH,PHL.16_1,PHL.12_1,5073
PH,PH,PHL.12_1,PHL.16_1,5073
PH,PH,PHL.8_1,PHL.39_1,15065
PH,PH,PHL.39_1,PHL.8_1,15065
PH,PH,PHL.76_1,PHL.23_1,5549
PH,PH,PHL.23_1,PHL.76_1,5549
PH,PH,PHL.72_1,PHL.65_1,7873
PH,PH,PHL.65_1,PHL.72_1,7873
PH,PH,PHL.3_1,PHL.38_1,5502
PH,PH,PHL.38_1,PHL.3_1,5502
PH,PH,PHL.45_1,PHL.22_1,6739
PH,PH,PHL.22_1,PHL.45_1,6739
PH,PH,PHL.3_1,PHL.22_1,9654
PH,PH,PHL.22_1,PHL.3_1,9654
PH,PH,PHL.62_1,PHL.34_1,4869
PH,PH,PHL.34_1,PHL.62_1,4869
PH,PH,PHL.68_1,PHL.39_1,4048
PH,PH,PHL.39_1,PHL.68_1,4048
PH,PH,PHL.75_1,PHL.39_1,4562
PH,PH,PHL.39_1,PHL.75_1,4562
PH,PH,PHL.26_1,PHL.25_1,11910
PH,PH,PHL.25_1,PHL.26_1,11910
PH,PH,PHL.60_1,PHL.50_1,5962
PH,PH,PHL.50_1,PHL.60_1,5962
PH,PH,PHL.24_1,PHL.1_1,7997
PH,PH,PHL.1_1,PHL.24_1,7997
PH,PH,PHL.67_1,PHL.39_1,4505
PH,PH,PHL.39_1,PHL.67_1,4505
PH,PH,PHL.51_1,PHL.23_1,5774
PH,PH,PHL.23_1,PHL.51_1,5774
PH,PH,PHL.9_1,PHL.13_1,9188
PH,PH,PHL.13_1,PHL.9_1,9188
PH,PH,PHL.75_1,PHL.74_1,129045
PH,PH,PHL.74_1,PHL.75_1,129045
PH,PH,PHL.76_1,PHL.29_1,4332
PH,PH,PHL.29_1,PHL.76_1,4332
PH,PH,PHL.60_1,PHL.26_1,4515
PH,PH,PHL.26_1,PHL.60_1,4515
PH,PH,PHL.46_1,PHL.42_1,6039
PH,PH,PHL.42_1,PHL.46_1,6039
PH,PH,PHL.56_1,PHL.36_1,3932
PH,PH,PHL.36_1,PHL.56_1,3932
PH,PH,PHL.7_1,PHL.36_1,4839
PH,PH,PHL.36_1,PHL.7_1,4839
PH,PH,PHL.57_1,PHL.14_1,9226
PH,PH,PHL.14_1,PHL.57_1,9226
PH,PH,PHL.35_1,PHL.33_1,24117
PH,PH,PHL.33_1,PHL.35_1,24117
PH,PH,PHL.57_1,PHL.52_1,8887
PH,PH,PHL.52_1,PHL.57_1,8887
PH,PH,PHL.42_1,PHL.31_1,4243
PH,PH,PHL.31_1,PHL.42_1,4243
PH,PH,PHL.81_1,PHL.26_1,17061
PH,PH,PHL.26_1,PHL.81_1,17061
PH,PH,PHL.2_1,PHL.14_1,11026
PH,PH,PHL.14_1,PHL.2_1,11026
PH,PH,PHL.48_1,PHL.40_1,7692
PH,PH,PHL.40_1,PHL.48_1,7692
PH,PH,PHL.38_1,PHL.16_1,5491
PH,PH,PHL.16_1,PHL.38_1,5491
PH,PH,PHL.50_1,PHL.46_1,9502
PH,PH,PHL.46_1,PHL.50_1,9502
PH,PH,PHL.7_1,PHL.53_1,6867
PH,PH,PHL.53_1,PHL.7_1,6867
PH,PH,PHL.6_1,PHL.45_1,6845
PH,PH,PHL.45_1,PHL.6_1,6845
PH,PH,PHL.5_1,PHL.34_1,4734
PH,PH,PHL.34_1,PHL.5_1,4734
PH,PH,PHL.57_1,PHL.45_1,19175
PH,PH,PHL.45_1,PHL.57_1,19175
PH,PH,PHL.9_1,PHL.30_1,24440
PH,PH,PHL.30_1,PHL.9_1,24440
PH,PH,PHL.63_1,PHL.58_1,6453
PH,PH,PHL.58_1,PHL.63_1,6453
PH,PH,PHL.69_1,PHL.22_1,7051
PH,PH,PHL.22_1,PHL.69_1,7051
PH,PH,PHL.73_1,PHL.37_1,3939
PH,PH,PHL.37_1,PHL.73_1,3939
PH,PH,PHL.78_1,PHL.39_1,11238
PH,PH,PHL.39_1,PHL.78_1,11238
PH,PH,PHL.75_1,PHL.18_1,4908
PH,PH,PHL.18_1,PHL.75_1,4908
PH,PH,PHL.71_1,PHL.19_1,6340
PH,PH,PHL.19_1,PHL.71_1,6340
PH,PH,PHL.39_1,PHL.10_1,9100
PH,PH,PHL.10_1,PHL.39_1,9100
PH,PH,PHL.4_1,PHL.30_1,9584
PH,PH,PHL.30_1,PHL.4_1,9584
PH,PH,PHL.80_1,PHL.43_1,8533
PH,PH,PHL.43_1,PHL.80_1,8533
PH,PH,PHL.79_1,PHL.43_1,10527
PH,PH,PHL.43_1,PHL.79_1,10527
PH,PH,PHL.7_1,PHL.64_1,8010
PH,PH,PHL.64_1,PHL.7_1,8010
PH,PH,PHL.70_1,PHL.22_1,9534
PH,PH,PHL.22_1,PHL.70_1,9534
PH,PH,PHL.44_1,PHL.22_1,6606
PH,PH,PHL.22_1,PHL.44_1,6606
PH,PH,PHL.68_1,PHL.24_1,9075
PH,PH,PHL.24_1,PHL.68_1,9075
PH,PH,PHL.6_1,PHL.62_1,6059
PH,PH,PHL.62_1,PHL.6_1,6059
PH,PH,PHL.80_1,PHL.62_1,5390
PH,PH,PHL.62_1,PHL.80_1,5390
PH,PH,PHL.51_1,PHL.29_1,8286
PH,PH,PHL.29_1,PHL.51_1,8286
PH,PH,PHL.81_1,PHL.31_1,8374
PH,PH,PHL.31_1,PHL.81_1,8374
PH,PH,PHL.66_1,PHL.50_1,7986
PH,PH,PHL.50_1,PHL.66_1,7986
PH,PH,PHL.74_1,PHL.50_1,7147
PH,PH,PHL.50_1,PHL.74_1,7147
PH,PH,PHL.77_1,PHL.45_1,3701
PH,PH,PHL.45_1,PHL.77_1,3701
PH,PH,PHL.40_1,PHL.34_1,7053
PH,PH,PHL.34_1,PHL.40_1,7053
PH,PH,PHL.7_1,PHL.75_1,5756
PH,PH,PHL.75_1,PHL.7_1,5756
PH,PH,PHL.24_1,PHL.15_1,10337
PH,PH,PHL.15_1,PHL.24_1,10337
PH,PH,PHL.36_1,PHL.23_1,5150
PH,PH,PHL.23_1,PHL.36_1,5150
PH,PH,PHL.62_1,PHL.18_1,5430
PH,PH,PHL.18_1,PHL.62_1,5430
PH,PH,PHL.7_1,PHL.67_1,7029
PH,PH,PHL.67_1,PHL.7_1,7029
PH,PH,PHL.68_1,PHL.47_1,10596
PH,PH,PHL.47_1,PHL.68_1,10596
PH,PH,PHL.52_1,PHL.12_1,6370
PH,PH,PHL.12_1,PHL.52_1,6370
PH,PH,PHL.75_1,PHL.68_1,11864
PH,PH,PHL.68_1,PHL.75_1,11864
PH,PH,PHL.34_1,PHL.20_1,4511
PH,PH,PHL.20_1,PHL.34_1,4511
PH,PH,PHL.76_1,PHL.20_1,6348
PH,PH,PHL.20_1,PHL.76_1,6348
PH,PH,PHL.81_1,PHL.3_1,20004
PH,PH,PHL.3_1,PHL.81_1,20004
PH,PH,PHL.42_1,PHL.27_1,12446
PH,PH,PHL.27_1,PHL.42_1,12446
PH,PH,PHL.80_1,PHL.17_1,5970
PH,PH,PHL.17_1,PHL.80_1,5970
PH,PH,PHL.2_1,PHL.18_1,4588
PH,PH,PHL.18_1,PHL.2_1,4588
PH,PH,PHL.76_1,PHL.18_1,8745
PH,PH,PHL.18_1,PHL.76_1,8745
PH,PH,PHL.61_1,PHL.14_1,6024
PH,PH,PHL.14_1,PHL.61_1,6024
PH,PH,PHL.70_1,PHL.42_1,24762
PH,PH,PHL.42_1,PHL.70_1,24762
PH,PH,PHL.61_1,PHL.36_1,4748
PH,PH,PHL.36_1,PHL.61_1,4748
PH,PH,PHL.78_1,PHL.68_1,5016
PH,PH,PHL.68_1,PHL.78_1,5016
PH,PH,PHL.36_1,PHL.26_1,7513
PH,PH,PHL.26_1,PHL.36_1,7513
PH,PH,PHL.81_1,PHL.37_1,5477
PH,PH,PHL.37_1,PHL.81_1,5477
PH,PH,PHL.74_1,PHL.33_1,3845
PH,PH,PHL.33_1,PHL.74_1,3845
PH,PH,PHL.63_1,PHL.33_1,636590
PH,PH,PHL.33_1,PHL.63_1,636590
PH,PH,PHL.35_1,PHL.28_1,3906
PH,PH,PHL.28_1,PHL.35_1,3906
PH,PH,PHL.67_1,PHL.48_1,12982
PH,PH,PHL.48_1,PHL.67_1,12982
PH,PH,PHL.78_1,PHL.44_1,4201
PH,PH,PHL.44_1,PHL.78_1,4201
PH,PH,PHL.76_1,PHL.17_1,10877
PH,PH,PHL.17_1,PHL.76_1,10877
PH,PH,PHL.79_1,PHL.6_1,10892
PH,PH,PHL.6_1,PHL.79_1,10892
PH,PH,PHL.37_1,PHL.18_1,81418
PH,PH,PHL.18_1,PHL.37_1,81418
PH,PH,PHL.7_1,PHL.33_1,49380
PH,PH,PHL.33_1,PHL.7_1,49380
PH,PH,PHL.52_1,PHL.33_1,5476
PH,PH,PHL.33_1,PHL.52_1,5476
PH,PH,PHL.73_1,PHL.45_1,3842
PH,PH,PHL.45_1,PHL.73_1,3842
PH,PH,PHL.76_1,PHL.69_1,6435
PH,PH,PHL.69_1,PHL.76_1,6435
PH,PH,PHL.8_1,PHL.32_1,5350
PH,PH,PHL.32_1,PHL.8_1,5350
PH,PH,PHL.72_1,PHL.18_1,5132
PH,PH,PHL.18_1,PHL.72_1,5132
PH,PH,PHL.8_1,PHL.16_1,6129
PH,PH,PHL.16_1,PHL.8_1,6129
PH,PH,PHL.46_1,PHL.22_1,20356
PH,PH,PHL.22_1,PHL.46_1,20356
PH,PH,PHL.40_1,PHL.30_1,8907
PH,PH,PHL.30_1,PHL.40_1,8907
PH,PH,PHL.59_1,PHL.52_1,12098
PH,PH,PHL.52_1,PHL.59_1,12098
PH,PH,PHL.36_1,PHL.27_1,7008
PH,PH,PHL.27_1,PHL.36_1,7008
PH,PH,PHL.75_1,PHL.54_1,8756
PH,PH,PHL.54_1,PHL.75_1,8756
PH,PH,PHL.65_1,PHL.34_1,6035
PH,PH,PHL.34_1,PHL.65_1,6035
PH,PH,PHL.67_1,PHL.2_1,13314
PH,PH,PHL.2_1,PHL.67_1,13314
PH,PH,PHL.81_1,PHL.43_1,10505
PH,PH,PHL.43_1,PHL.81_1,10505
PH,PH,PHL.67_1,PHL.5_1,6288
PH,PH,PHL.5_1,PHL.67_1,6288
PH,PH,PHL.72_1,PHL.34_1,4220
PH,PH,PHL.34_1,PHL.72_1,4220
PH,PH,PHL.32_1,PHL.13_1,4982
PH,PH,PHL.13_1,PHL.32_1,4982
PH,PH,PHL.69_1,PHL.45_1,9084
PH,PH,PHL.45_1,PHL.69_1,9084
PH,PH,PHL.74_1,PHL.54_1,9224
PH,PH,PHL.54_1,PHL.74_1,9224
PH,PH,PHL.81_1,PHL.55_1,5478
PH,PH,PHL.55_1,PHL.81_1,5478
PH,PH,PHL.52_1,PHL.32_1,12926
PH,PH,PHL.32_1,PHL.52_1,12926
PH,PH,PHL.1_1,PHL.12_1,5385
PH,PH,PHL.12_1,PHL.1_1,5385
PH,PH,PHL.1_1,PHL.13_1,98485
PH,PH,PHL.13_1,PHL.1_1,98485
PH,PH,PHL.73_1,PHL.61_1,2747
PH,PH,PHL.61_1,PHL.73_1,2747
PH,PH,PHL.5_1,PHL.47_1,19048
PH,PH,PHL.47_1,PHL.5_1,19048
PH,PH,PHL.78_1,PHL.78_1,1736588
PH,PH,PHL.71_1,PHL.53_1,8166
PH,PH,PHL.53_1,PHL.71_1,8166
PH,PH,PHL.50_1,PHL.39_1,36706
PH,PH,PHL.39_1,PHL.50_1,36706
PH,PH,PHL.65_1,PHL.31_1,8233
PH,PH,PHL.31_1,PHL.65_1,8233
PH,PH,PHL.76_1,PHL.16_1,4806
PH,PH,PHL.16_1,PHL.76_1,4806
PH,PH,PHL.7_1,PHL.61_1,10967
PH,PH,PHL.61_1,PHL.7_1,10967
PH,PH,PHL.46_1,PHL.21_1,8126
PH,PH,PHL.21_1,PHL.46_1,8126
PH,PH,PHL.50_1,PHL.36_1,4845
PH,PH,PHL.36_1,PHL.50_1,4845
PH,PH,PHL.23_1,PHL.14_1,7584
PH,PH,PHL.14_1,PHL.23_1,7584
PH,PH,PHL.76_1,PHL.64_1,9220
PH,PH,PHL.64_1,PHL.76_1,9220
PH,PH,PHL.79_1,PHL.22_1,8588
PH,PH,PHL.22_1,PHL.79_1,8588
PH,PH,PHL.65_1,PHL.27_1,6705
PH,PH,PHL.27_1,PHL.65_1,6705
PH,PH,PHL.7_1,PHL.44_1,6659
PH,PH,PHL.44_1,PHL.7_1,6659
PH,PH,PHL.58_1,PHL.54_1,8218
PH,PH,PHL.54_1,PHL.58_1,8218
PH,PH,PHL.65_1,PHL.35_1,6174
PH,PH,PHL.35_1,PHL.65_1,6174
PH,PH,PHL.9_1,PHL.10_1,3333
PH,PH,PHL.10_1,PHL.9_1,3333
PH,PH,PHL.70_1,PHL.48_1,14305
PH,PH,PHL.48_1,PHL.70_1,14305
PH,PH,PHL.63_1,PHL.27_1,4121
PH,PH,PHL.27_1,PHL.63_1,4121
PH,PH,PHL.51_1,PHL.25_1,17893
PH,PH,PHL.25_1,PHL.51_1,17893
PH,PH,PHL.73_1,PHL.16_1,10827
PH,PH,PHL.16_1,PHL.73_1,10827
PH,PH,PHL.9_1,PHL.16_1,9166
PH,PH,PHL.16_1,PHL.9_1,9166
PH,PH,PHL.75_1,PHL.59_1,9292
PH,PH,PHL.59_1,PHL.75_1,9292
PH,PH,PHL.50_1,PHL.17_1,5627
PH,PH,PHL.17_1,PHL.50_1,5627
PH,PH,PHL.68_1,PHL.61_1,4372
PH,PH,PHL.61_1,PHL.68_1,4372
PH,PH,PHL.2_1,PHL.21_1,54532
PH,PH,PHL.21_1,PHL.2_1,54532
PH,PH,PHL.4_1,PHL.3_1,8226
PH,PH,PHL.3_1,PHL.4_1,8226
PH,PH,PHL.81_1,PHL.27_1,15157
PH,PH,PHL.27_1,PHL.81_1,15157
PH,PH,PHL.79_1,PHL.65_1,9615
PH,PH,PHL.65_1,PHL.79_1,9615
PH,PH,PHL.71_1,PHL.41_1,10073
PH,PH,PHL.41_1,PHL.71_1,10073
PH,PH,PHL.9_1,PHL.8_1,6207
PH,PH,PHL.8_1,PHL.9_1,6207
PH,PH,PHL.29_1,PHL.23_1,5989
PH,PH,PHL.23_1,PHL.29_1,5989
PH,PH,PHL.76_1,PHL.27_1,4405
PH,PH,PHL.27_1,PHL.76_1,4405
PH,PH,PHL.56_1,PHL.4_1,4656
PH,PH,PHL.4_1,PHL.56_1,4656
PH,PH,PHL.63_1,PHL.4_1,6252
PH,PH,PHL.4_1,PHL.63_1,6252
PH,PH,PHL.31_1,PHL.19_1,7274
PH,PH,PHL.19_1,PHL.31_1,7274
PH,PH,PHL.9_1,PHL.9_1,7719739
PH,PH,PHL.5_1,PHL.45_1,9258
PH,PH,PHL.45_1,PHL.5_1,9258
PH,PH,PHL.63_1,PHL.26_1,5023
PH,PH,PHL.26_1,PHL.63_1,5023
PH,PH,PHL.34_1,PHL.14_1,4298
PH,PH,PHL.14_1,PHL.34_1,4298
PH,PH,PHL.6_1,PHL.64_1,12952
PH,PH,PHL.64_1,PHL.6_1,12952
PH,PH,PHL.52_1,PHL.22_1,10991
PH,PH,PHL.22_1,PHL.52_1,10991
PH,PH,PHL.4_1,PHL.39_1,5082
PH,PH,PHL.39_1,PHL.4_1,5082
PH,PH,PHL.78_1,PHL.13_1,18648
PH,PH,PHL.13_1,PHL.78_1,18648
PH,PH,PHL.21_1,PHL.18_1,4558
PH,PH,PHL.18_1,PHL.21_1,4558
PH,PH,PHL.47_1,PHL.18_1,16099
PH,PH,PHL.18_1,PHL.47_1,16099
PH,PH,PHL.35_1,PHL.25_1,3401
PH,PH,PHL.25_1,PHL.35_1,3401
PH,PH,PHL.63_1,PHL.25_1,3441
PH,PH,PHL.25_1,PHL.63_1,3441
PH,PH,PHL.78_1,PHL.3_1,6298
PH,PH,PHL.3_1,PHL.78_1,6298
PH,PH,PHL.43_1,PHL.25_1,28305
PH,PH,PHL.25_1,PHL.43_1,28305
PH,PH,PHL.32_1,PHL.17_1,6577
PH,PH,PHL.17_1,PHL.32_1,6577
PH,PH,PHL.30_1,PHL.26_1,35558
PH,PH,PHL.26_1,PHL.30_1,35558
PH,PH,PHL.74_1,PHL.52_1,13187
PH,PH,PHL.52_1,PHL.74_1,13187
PH,PH,PHL.7_1,PHL.52_1,6757
PH,PH,PHL.52_1,PHL.7_1,6757
PH,PH,PHL.74_1,PHL.42_1,11619
PH,PH,PHL.42_1,PHL.74_1,11619
PH,PH,PHL.65_1,PHL.24_1,23771
PH,PH,PHL.24_1,PHL.65_1,23771
PH,PH,PHL.50_1,PHL.26_1,6857
PH,PH,PHL.26_1,PHL.50_1,6857
PH,PH,PHL.5_1,PHL.31_1,6999
PH,PH,PHL.31_1,PHL.5_1,6999
PH,PH,PHL.76_1,PHL.57_1,7401
PH,PH,PHL.57_1,PHL.76_1,7401
PH,PH,PHL.42_1,PHL.14_1,5755
PH,PH,PHL.14_1,PHL.42_1,5755
PH,PH,PHL.4_1,PHL.33_1,3531
PH,PH,PHL.33_1,PHL.4_1,3531
PH,PH,PHL.71_1,PHL.33_1,3501
PH,PH,PHL.33_1,PHL.71_1,3501
PH,PH,PHL.41_1,PHL.33_1,4074
PH,PH,PHL.33_1,PHL.41_1,4074
PH,PH,PHL.76_1,PHL.49_1,4434
PH,PH,PHL.49_1,PHL.76_1,4434
PH,PH,PHL.61_1,PHL.55_1,16580
PH,PH,PHL.55_1,PHL.61_1,16580
PH,PH,PHL.38_1,PHL.14_1,4458
PH,PH,PHL.14_1,PHL.38_1,4458
PH,PH,PHL.77_1,PHL.20_1,5412
PH,PH,PHL.20_1,PHL.77_1,5412
PH,PH,PHL.78_1,PHL.65_1,7929
PH,PH,PHL.65_1,PHL.78_1,7929
PH,PH,PHL.31_1,PHL.26_1,7501
PH,PH,PHL.26_1,PHL.31_1,7501
PH,PH,PHL.80_1,PHL.50_1,9836
PH,PH,PHL.50_1,PHL.80_1,9836
PH,PH,PHL.9_1,PHL.75_1,6599
