"Geolocation","Total Deaths Place of Usual Residence","Total Deaths Place of Occurrence","Maternal Deaths Place of Usual Residence","Maternal Deaths Place of Occurrence","Infant Deaths Place of Usual Residence","Infant Deaths Place of Occurrence"
"…...Looc",49,34,0,0,1,0
"…...Lubang",155,137,0,0,2,2
"…...Magsaysay",232,157,0,1,2,2
"…...Mamburao",305,464,0,1,12,32
"…...Paluan",110,66,0,0,7,2
"…...Rizal",240,144,0,0,10,3
"…...Sablayan",566,534,3,2,14,17
"…...San Jose",934,1049,6,6,33,40
"…...Santa Cruz",234,160,1,0,14,5
"….ORIENTAL MINDORO",5895,5833,9,10,207,200
"…...Baco",276,164,0,0,16,5
"…...Bansud",273,178,0,0,9,0
"…...Bongabong",475,362,0,0,18,9
"…...Bulalacao",255,198,0,0,12,6
"…...City of Calapan",1019,2027,0,3,61,126
"…...Gloria",341,209,1,1,7,1
"…...Mansalay",325,194,1,0,11,4
"…...Naujan",718,482,3,1,9,1
"…...Pinamalayan",612,745,0,1,17,24
"…...Pola",255,151,0,0,11,0
"…...Puerto Galera",219,159,1,1,4,0
"…...Roxas",396,433,0,1,12,15
"…...San Teodoro",117,89,1,1,1,0
"…...Socorro",252,190,1,1,4,6
"…...Victoria",362,252,1,0,15,3
"….PALAWAN",4507,3823,21,20,129,93
"…...Aborlan",251,236,1,1,6,4
"…...Agutaya",69,53,1,1,0,0
"…...Araceli",62,45,0,0,0,0
"…...Balabac",36,27,0,0,0,0
"…...Bataraza",279,233,0,0,7,3
"…...Brooke's Point",440,490,1,2,16,23
"…...Busuanga",88,64,2,0,6,1
"…...Cagayancillo",27,20,0,0,0,0
"…...Coron",247,148,3,1,7,0
"…...Culion",78,204,0,4,4,16
"…...Cuyo",165,164,0,1,0,0
"…...Dr. Jose P. Rizal",190,145,0,0,6,4
"…...Dumaran",109,76,0,0,7,3
"…...El Nido",212,194,0,0,3,2
"…...Kalayaan",0,0,0,0,0,0
"…...Linapacan",54,35,0,0,0,0
"…...Magsaysay",86,59,1,0,0,0
"…...Narra",487,344,1,1,19,7
"…...Quezon",362,284,5,5,10,7
"…...Roxas",410,333,3,3,8,6
"…...San Vicente",186,136,0,0,3,1
"…...Sofronio Española",213,156,1,0,8,5
"…...Taytay",456,377,2,1,19,11
"….ROMBLON",2323,2216,5,5,85,83
"…...Alcantara",122,81,0,0,2,0
"…...Banton",57,50,0,0,0,0
"…...Cajidiocan",189,205,1,1,8,8
"…...Calatrava",58,25,0,0,3,0
"…...Concepcion",35,23,0,0,1,0
"…...Corcuera",80,63,0,0,2,0
"…...Ferrol",55,28,0,0,1,0
"…...Looc",219,207,0,0,8,7
"…...Magdiwang",101,70,0,0,3,2
"…...Odiongan",382,667,0,1,9,37
"…...Romblon",313,297,1,1,16,18
"…...San Agustin",183,138,0,0,11,4
"…...San Andres",114,81,0,0,5,2
"…...San Fernando",159,112,2,1,9,3
"…...San Jose",50,45,1,1,3,2
"…...Santa Fe",139,81,0,0,3,0
"…...Santa Maria",67,43,0,0,1,0
"….CITY OF PUERTO PRINCESA",1711,2374,4,7,60,97
"REGION V (BICOL REGION)",42874,42372,121,117,1464,1466
"….ALBAY",9943,10144,14,16,298,352
"…...Bacacay",559,326,0,0,14,0
"…...Camalig",541,301,3,1,15,3
"…...Daraga",960,2797,2,8,29,249
"…...Guinobatan",683,375,0,0,19,2
"…...Jovellar",119,55,0,0,5,0
"…...City of Legazpi",1517,1336,1,1,65,23
"…...Libon",548,358,0,1,14,5
"…...City of Ligao",849,1418,0,1,19,26
"…...Malilipot",273,142,0,0,7,1
"…...Malinao",316,178,0,0,9,2
"…...Manito",165,113,0,0,4,1
"…...Oas",469,283,2,2,16,3
"…...Pio Duran",335,269,2,0,8,5
"…...Polangui",689,406,1,0,20,6
"…...Rapu-Rapu",193,116,0,0,8,1
"…...Santo Domingo",298,152,0,0,10,0
"…...City of Tabaco",1026,1272,2,2,23,24
"…...Tiwi",403,247,1,0,13,1
"….CAMARINES NORTE",4548,4234,17,16,193,180
"…...Basud",292,150,0,0,13,0
"…...Capalonga",223,130,2,1,11,6
"…...Daet",840,2148,2,12,32,144
"…...Jose Panganiban",494,278,2,0,23,5
"…...Labo",805,465,3,0,39,8
"…...Mercedes",436,223,2,1,17,4
"…...Paracale",463,246,1,0,21,3
"…...San Lorenzo Ruiz",105,46,1,0,3,0
"…...San Vicente",80,47,1,0,3,1
"…...Santa Elena",278,214,2,2,11,4
"…...Talisay",206,89,1,0,7,1
"…...Vinzons",326,198,0,0,13,4
"….CAMARINES SUR",14487,14801,35,35,478,506
"…...Baao",450,246,0,0,12,1
"…...Balatan",212,136,0,0,8,5
"…...Bato",332,209,1,0,16,8
"…...Bombon",127,72,0,0,2,0
"…...Buhi",620,389,0,0,19,4
"…...Bula",514,317,0,0,19,4
"…...Cabusao",180,555,0,2,7,10
"…...Calabanga",621,360,2,0,18,4
"…...Camaligan",185,83,0,0,6,1
"…...Canaman",237,120,1,0,5,0
"…...Caramoan",304,246,1,0,14,8
"…...Del Gallego",165,101,0,0,7,1
"…...Gainza",75,41,0,0,1,0
"…...Garchitorena",152,107,1,0,6,3
"…...Goa",462,407,0,0,21,13
"…...City of Iriga",957,1029,2,2,28,21
"…...Lagonoy",397,239,1,0,17,6
"…...Libmanan",671,396,1,0,14,4
"…...Lupi",241,146,0,0,8,1
"…...Magarao",213,110,0,0,8,3
"…...Milaor",224,126,1,0,6,0
"…...Minalabac",357,201,2,0,11,1
"…...Nabua",710,568,1,1,15,8
"…...City of Naga",1632,5693,2,26,62,352
"…...Ocampo",384,250,2,1,12,6
"…...Pamplona",266,168,0,0,7,1
"…...Pasacao",299,187,2,0,7,4
"…...Pili",655,371,4,0,18,2
"…...Presentacion",138,88,1,0,2,1
"…...Ragay",414,293,0,0,7,2
"…...Sagñay",279,205,1,0,9,0
"…...San Fernando",248,139,0,0,8,1
"…...San Jose",337,275,0,0,13,8
"…...Sipocot",426,235,3,0,14,4
"…...Siruma",120,89,2,1,9,4
"…...Tigaon",392,265,1,0,20,6
"…...Tinambac",491,339,3,2,22,9
"….CATANDUANES",1918,1855,9,9,51,51
"…...Bagamanoc",73,41,1,0,1,1
"…...Baras",103,55,0,0,2,0
"…...Bato",181,121,3,1,3,0
"…...Caramoran",180,117,1,0,2,0
"…...Gigmoto",61,32,0,0,4,1
"…...Pandan",174,169,0,0,5,5
"…...Panganiban",53,27,0,0,1,0
"…...San Andres",284,225,2,0,8,2
"…...San Miguel",116,60,1,1,5,1
"…...Viga",144,122,0,0,0,0
"…...Virac",549,886,1,7,20,41
"….MASBATE",5873,5530,33,31,239,214
"…...Aroroy",479,389,4,0,18,13
"…...Baleno",157,106,1,0,7,3
"…...Balud",234,182,1,1,9,4
"…...Batuan",122,89,0,0,4,2
"…...Cataingan",377,354,0,0,12,12
"…...Cawayan",423,334,5,2,27,18
"…...Claveria",221,195,1,0,8,3
"…...Dimasalang",171,122,0,0,5,2
"…...Esperanza",139,107,1,0,6,3
"…...Mandaon",279,207,1,1,10,6
"…...City of Masbate",743,1539,6,24,47,121
"…...Milagros",361,248,2,1,19,6
"…...Mobo",245,161,1,0,6,1
"…...Monreal",148,96,2,0,8,2
"…...Palanas",219,164,1,0,7,0
"…...Pio V. Corpus",164,122,0,0,4,0
"…...Placer",375,282,3,0,12,6
"…...San Fernando",168,117,1,0,3,1
"…...San Jacinto",240,281,0,1,5,6
"…...San Pascual",229,175,1,0,6,1
"…...Uson",379,260,2,1,16,4
"….SORSOGON",6105,5808,13,10,205,163
"…...Barcelona",179,78,0,0,6,1
"…...Bulan",796,591,0,0,25,7
"…...Bulusan",210,101,0,0,7,0
"…...Casiguran",267,131,2,0,9,2
"…...Castilla",424,318,2,0,19,7
"…...Donsol",344,342,0,0,11,8
"…...Gubat",523,526,2,0,13,5
"…...Irosin",495,564,0,0,16,7
"…...Juban",219,101,0,0,5,1
"…...Magallanes",274,190,3,3,9,6
"…...Matnog",286,221,0,0,7,1
"…...Pilar",442,239,0,0,20,5
"…...Prieto Diaz",183,122,1,0,8,3
"…...Santa Magdalena",141,80,0,0,0,0
"…...City of Sorsogon",1322,2204,3,7,50,110
"REGION VI (WESTERN VISAYAS)",35180,35080,56,53,799,792
"….AKLAN",4413,4449,6,8,99,96
"…...Altavas",195,158,0,0,4,2
"…...Balete",191,116,0,0,4,1
"…...Banga",340,170,0,0,7,0
"…...Batan",291,169,0,0,5,0
"…...Buruanga",117,79,1,0,2,2
"…...Ibajay",416,347,0,0,9,5
"…...Kalibo",731,2165,1,8,19,77
"…...Lezo",122,64,0,0,2,0
"…...Libacao",148,87,0,0,3,2
"…...Madalag",126,91,0,0,3,0
"…...Makato",231,102,1,0,6,0
"…...Malay",275,217,0,0,8,2
"…...Malinao",208,129,1,0,1,0
"…...Nabas",253,159,0,0,6,0
"…...New Washington",336,169,0,0,10,3
"…...Numancia",248,117,1,0,5,0
"…...Tangalan",185,110,1,0,5,2
"….ANTIQUE",4542,4292,11,8,111,97
"…...Anini-y",197,131,0,0,6,2
"…...Barbaza",178,148,0,0,5,3
"…...Belison",112,68,0,0,2,0
"…...Bugasong",255,218,1,1,4,0
"…...Caluya",112,76,1,1,3,2
"…...Culasi",355,287,0,0,11,8
"…...Hamtic",366,219,0,0,10,2
"…...Laua-an",244,159,0,0,7,2
"…...Libertad",136,87,0,0,2,0
"…...Pandan",288,250,3,0,3,0
"…...Patnongon",319,222,0,0,6,2
"…...San Jose",519,1362,1,5,10,67
"…...San Remigio",211,134,1,0,10,2
"…...Sebaste",144,118,0,0,3,2
"…...Sibalom",477,346,2,1,13,1
"…...Tibiao",228,159,1,0,4,1
"…...Tobias Fornier",277,214,0,0,6,0
"…...Valderrama",124,94,1,0,6,3
"….CAPIZ",5845,5543,5,4,118,99
"…...Cuartero",244,136,0,0,5,2
"…...Dao",259,371,0,0,6,6
"…...Dumalag",240,137,0,0,1,1
"…...Dumarao",354,212,1,0,7,1
"…...Ivisan",241,141,0,0,8,3
"…...Jamindan",226,132,0,0,9,0
"…...Ma-ayon",274,138,0,0,6,1
"…...Mambusao",301,363,0,0,7,8
"…...Panay",370,192,0,0,7,0
"…...Panitan",313,181,0,0,1,0
"…...Pilar",343,195,0,0,6,2
"…...Pontevedra",367,529,2,0,9,13
"…...President Roxas",235,114,1,0,4,2
"…...City of Roxas",1307,2189,1,4,31,57
"…...Sapi-an",198,118,0,0,1,0
"…...Sigma",237,123,0,0,5,2
"…...Tapaz",336,272,0,0,5,1
"….GUIMARAS",1275,1139,2,1,28,20
"…...Buenavista",387,248,1,0,6,0
"…...Jordan",259,624,0,1,7,19
"…...Nueva Valencia",286,136,1,0,6,0
"…...San Lorenzo",196,82,0,0,4,0
"…...Sibunag",147,49,0,0,5,1
"….ILOILO",15416,12764,27,11,368,161
"…...Ajuy",402,186,1,0,12,0
"…...Alimodian",298,381,1,0,6,4
"…...Anilao",211,110,0,0,7,0
"…...Badiangan",219,113,0,0,3,0
"…...Balasan",231,524,0,2,3,16
"…...Banate",278,137,0,0,9,1
"…...Barotac Nuevo",403,842,0,0,12,21
"…...Barotac Viejo",304,392,0,0,9,3
"…...Batad",140,82,0,0,3,1
"…...Bingawan",123,45,1,0,4,1
"…...Cabatuan",502,548,0,1,11,5
"…...Calinog",456,498,1,1,17,15
"…...Carles",443,257,3,0,14,2
"…...Concepcion",299,149,1,0,5,4
"…...Dingle",398,232,0,0,7,0
"…...Dueñas",278,157,0,0,5,0
"…...Dumangas",603,402,0,0,13,1
"…...Estancia",378,203,0,0,9,1
"…...Guimbal",302,657,1,1,7,6
"…...Igbaras",295,178,0,0,7,2
"…...Janiuay",556,517,0,0,13,3
"…...Lambunao",563,478,1,0,13,9
"…...Leganes",256,123,1,0,12,1
"…...Lemery",220,117,1,0,10,0
"…...Leon",381,236,0,0,8,1
"…...Maasin",294,143,1,0,6,1
"…...Miagao",571,381,2,0,7,3
"…...Mina",156,90,0,0,1,0
"…...New Lucena",200,106,0,0,7,0
"…...Oton",708,384,0,0,15,0
"…...City of Passi",680,655,4,2,20,8
"…...Pavia",491,247,2,0,11,0
"…...Pototan",633,834,0,1,12,23
"…...San Dionisio",270,133,0,0,7,1
"…...San Enrique",240,112,1,0,6,0
"…...San Joaquin",426,390,2,2,8,2
"…...San Miguel",243,121,0,0,6,2
"…...San Rafael",139,62,0,0,2,0
"…...Santa Barbara",512,393,1,0,10,7
"…...Sara",435,694,1,1,12,15
"…...Tigbauan",518,269,0,0,7,0
"…...Tubungan",142,93,1,0,4,2
"…...Zarraga",219,93,0,0,8,0
"….CITY OF ILOILO",3689,6893,5,21,75,319
"NEGROS ISLAND REGION (NIR)",35628,35380,100,97,820,817
"….NEGROS OCCIDENTAL",19327,17038,53,40,430,374
"…...City of Bago",1369,1053,2,0,34,25
"…...Binalbagan",500,413,2,1,8,7
"…...City of Cadiz",1342,1391,2,3,26,31
"…...Calatrava",522,415,2,2,9,3
"…...Candoni",134,88,1,0,7,3
"…...Cauayan",716,582,1,1,16,9
"…...Enrique B. Magalona",488,254,1,1,3,0
"…...City of Escalante",816,756,3,3,17,15
"…...City of Himamaylan",934,866,3,2,27,21
"…...Hinigaran",694,553,0,0,19,9
"…...Hinoba-an",400,328,1,0,18,11
"…...Ilog",416,228,1,0,10,4
"…...Isabela",456,459,3,3,11,12
"…...City of Kabankalan",1318,1695,7,9,39,67
"…...City of La Carlota",560,648,0,0,7,9
"…...La Castellana",581,441,1,1,15,7
"…...Manapla",410,302,2,0,3,3
"…...Moises Padilla",294,208,1,0,7,3
"…...Murcia",644,401,2,0,18,5
"…...Pontevedra",409,242,1,0,7,2
"…...Pulupandan",221,127,1,0,2,1
"…...City of Sagay",1067,1004,3,3,27,27
"…...Salvador Benedicto",131,92,0,0,4,2
"…...City of San Carlos",886,931,4,3,11,15
"…...San Enrique",203,121,1,0,4,0
"…...City of Silay",1031,1422,0,4,25,47
"…...City of Sipalay",473,393,0,0,14,11
"…...City of Talisay",886,455,2,0,16,4
"…...Toboso",322,214,3,0,10,4
"…...Valladolid",340,453,1,2,4,14
"…...City of Victorias",764,503,2,2,12,3
"….NEGROS ORIENTAL",10552,10481,36,34,300,302
"…...Amlan",226,145,0,0,4,2
"…...Ayungon",375,250,4,2,12,4
"…...Bacong",345,248,0,0,10,2
"…...City of Bais",539,459,3,2,16,6
"…...Basay",191,123,0,0,10,2
"…...City of Bayawan",771,791,1,1,38,49
"…...Bindoy",273,264,1,2,12,12
"…...City of Canlaon",397,324,2,0,10,6
"…...Dauin",281,203,0,0,4,2
"…...City of Dumaguete",1203,2992,1,16,30,151
"…...City of Guihulngan",652,584,1,1,24,16
"…...Jimalalud",202,158,3,1,6,0
"…...La Libertad",268,211,2,1,11,5
"…...Mabinay",568,495,2,2,9,5
"…...Manjuyod",340,243,0,0,13,3
"…...Pamplona",302,210,0,0,6,1
"…...San Jose",193,127,0,0,7,1
"…...Santa Catalina",606,417,3,0,15,4
"…...Siaton",619,518,2,2,17,11
"…...Sibulan",445,469,0,0,5,6
"…...City of Tanjay",658,477,3,1,10,2
"…...Tayasan",258,184,3,1,8,3
"…...Valencia",303,209,0,0,10,3
"…...Vallehermoso",278,199,3,2,7,3
"…...Zamboanguita",259,181,2,0,6,3
"….SIQUIJOR",938,853,0,0,17,17
"…...Enrique Villanueva",68,46,0,0,0,0
"…...Larena",114,63,0,0,0,0
"…...Lazi",205,166,0,0,8,2
"…...Maria",128,92,0,0,1,0
"…...San Juan",168,100,0,0,2,0
"…...Siquijor",255,386,0,0,6,15
"….CITY OF BACOLOD",4811,7008,11,23,73,124
"REGION VII (CENTRAL VISAYAS)",44455,44961,148,152,1200,1201
"….BOHOL",10196,10101,16,16,212,208
"…...Alburquerque",79,62,0,0,0,0
"…...Alicia",191,135,1,0,2,0
"…...Anda",144,106,1,0,2,0
"…...Antequera",151,93,0,0,0,0
"…...Baclayon",166,88,0,0,2,0
"…...Balilihan",151,70,0,0,5,0
"…...Batuan",104,63,0,0,1,1
"…...Bien Unido",154,85,0,0,2,0
"…...Bilar",153,109,1,0,3,2
"…...Buenavista",209,135,1,0,6,1
"…...Calape",250,179,0,0,4,2
"…...Candijay",290,223,0,0,6,0
"…...Carmen",305,229,1,1,9,3
"…...Catigbian",154,131,0,0,1,1
"…...Clarin",166,120,0,0,5,0
"…...Corella",72,45,0,0,3,0
"…...Cortes",161,96,0,0,3,0
"…...Dagohoy",120,81,0,0,2,0
"…...Danao",100,56,0,0,4,1
"…...Dauis",332,189,0,0,9,2
"…...Dimiao",126,89,0,0,0,0
"…...Duero",167,111,0,0,2,0
"…...Garcia Hernandez",194,120,0,0,4,1
"…...Getafe",222,140,0,0,4,0
"…...Guindulman",270,186,0,0,3,0
"…...Inabanga",325,229,1,1,10,1
"…...Jagna",314,285,1,0,8,6
"…...Lila",111,57,0,0,3,0
"…...Loay",142,76,0,0,6,0
"…...Loboc",139,75,1,0,4,0
"…...Loon",408,271,0,0,7,0
"…...Mabini",230,166,1,0,2,0
"…...Maribojoc",149,114,0,0,2,1
"…...Panglao",267,159,1,0,6,0
"…...Pilar",193,127,0,0,6,1
"…...President Carlos P. Garcia",166,132,1,1,0,0
"…...Sagbayan",171,118,0,0,1,0
"…...San Isidro",79,50,0,0,0,0
"…...San Miguel",179,109,0,0,7,2
"…...Sevilla",94,61,0,0,4,0
"…...Sierra Bullones",149,107,0,0,1,1
"…...Sikatuna",56,37,0,0,2,0
"…...City of Tagbilaran",766,3204,0,10,16,147
"…...Talibon",430,436,2,1,17,5
"…...Trinidad",241,127,0,0,4,0
"…...Tubigon",373,266,3,1,6,1
"…...Ubay",591,783,0,1,16,29
"…...Valencia",192,171,0,0,2,0
"….CEBU",22128,19395,73,46,643,489
"…...Alcantara",117,73,1,0,3,1
"…...Alcoy",123,78,1,0,6,3
"…...Alegria",220,119,0,0,7,2
"…...Aloguinsan",225,130,0,0,8,1
"…...Argao",594,615,0,0,6,7
"…...Asturias",351,248,3,1,6,2
"…...Badian",304,393,1,0,7,12
"…...Balamban",605,760,3,4,16,22
"…...Bantayan",593,669,1,0,19,22
"…...Barili",559,568,2,1,17,10
"…...City of Bogo",653,998,1,5,21,53
"…...Boljoon",150,96,0,0,2,1
"…...Borbon",312,202,1,0,8,2
"…...City of Carcar",963,1133,4,4,26,51
"…...Carmen",342,204,2,0,13,3
"…...Catmon",237,153,1,0,9,0
"…...Compostela",359,193,1,0,10,1
"…...Consolacion",775,517,3,1,20,5
"…...Cordova",427,227,3,1,15,0
"…...Daanbantayan",669,571,1,0,17,5
"…...Dalaguete",499,366,1,1,15,7
"…...Danao City",987,1280,5,6,41,56
"…...Dumanjug",376,245,1,0,14,7
"…...Ginatilan",131,85,0,0,5,2
"…...Liloan",882,428,1,0,25,1
"…...Madridejos",274,137,0,0,13,2
"…...Malabuyoc",149,258,0,0,2,6
"…...Medellin",438,318,1,1,6,2
"…...Minglanilla",888,699,1,0,14,7
"…...Moalboal",271,168,1,0,7,1
"…...City of Naga",859,826,4,0,49,36
"…...Oslob",238,252,0,1,4,3
"…...Pilar",101,86,0,0,0,0
"…...Pinamungajan",444,381,2,0,14,6
"…...Poro",189,99,1,0,4,0
"…...Ronda",175,127,0,0,1,0
"…...Samboan",157,94,1,0,5,1
"…...San Fernando",444,262,1,0,10,0
"…...San Francisco",407,486,1,1,13,16
"…...San Remigio",428,264,1,0,9,2
"…...Santa Fe",220,138,1,0,8,4
"…...Santander",126,95,1,0,3,0
"…...Sibonga",352,282,1,0,12,2
"…...Sogod",278,357,1,1,6,11
"…...Tabogon",289,166,1,0,7,2
"…...Tabuelan",208,142,2,1,6,3
"…...City of Talisay",1766,1806,6,13,65,77
"…...City of Toledo",1338,1079,6,3,40,26
"…...Tuburan",540,488,3,1,7,6
"…...Tudela",96,34,0,0,2,0
"….CITY OF CEBU",7351,10180,45,77,174,334
"….CITY OF LAPU-LAPU",2694,2623,6,6,99,75
"….CITY OF MANDAUE",2086,2662,8,7,72,95
"REGION VIII (EASTERN VISAYAS)",30263,29879,78,74,562,557
"….BILIRAN",1294,1196,2,1,38,36
"…...Almeria",123,67,1,0,4,0
"…...Biliran",120,68,0,0,6,2
"…...Cabucgayan",162,91,0,0,2,0
"…...Caibiran",161,104,0,0,5,1
"…...Culaba",84,58,0,0,3,1
"…...Kawayan",154,104,0,0,4,3
"…...Maripipi",76,61,0,0,0,0
"…...Naval",414,643,1,1,14,29
"….EASTERN SAMAR",3270,2963,13,9,53,47
"…...Arteche",97,76,0,0,1,0
"…...Balangiga",107,106,0,0,2,1
"…...Balangkayan",63,35,0,0,0,0
"…...City of Borongan",494,708,2,3,10,24
"…...Can-avid",136,91,0,0,3,2
"…...Dolores",258,212,5,4,5,4
"…...General MacArthur",91,73,0,0,1,0
"…...Giporlos",98,58,0,0,1,0
"…...Guiuan",324,346,1,1,3,2
"…...Hernani",68,38,0,0,1,0
"…...Jipapad",34,26,0,0,2,1
"…...Lawaan",89,60,0,0,0,0
"…...Llorente",154,122,0,0,2,0
"…...Maslog",18,13,0,0,1,1
"…...Maydolong",91,52,0,0,3,1
"…...Mercedes",54,30,0,0,1,1
"…...Oras",312,377,1,1,2,5
"…...Quinapondan",91,68,0,0,2,2
"…...Salcedo",152,110,2,0,3,2
"…...San Julian",120,71,0,0,3,0
"…...San Policarpo",109,72,1,0,2,0
"…...Sulat",146,103,0,0,2,1
"…...Taft",164,116,1,0,3,0
"….LEYTE",12175,10804,20,15,207,162
"…...Abuyog",424,426,0,0,2,6
"…...Alangalang",343,207,1,0,3,0
"…...Albuera",379,286,1,1,7,2
"…...Babatngon",157,117,0,0,1,1
"…...Barugo",221,156,0,0,5,0
"…...Bato",278,197,0,0,3,0
"…...City of Baybay",880,868,2,2,7,10
"…...Burauen",354,292,0,0,4,6
"…...Calubian",234,202,1,0,3,2
"…...Capoocan",218,150,1,0,1,0
"…...Carigara",372,338,0,1,6,6
"…...Dagami",246,147,0,0,4,1
"…...Dulag",327,228,1,0,5,1
"…...Hilongos",484,532,0,0,15,16
"…...Hindang",180,128,0,0,0,0
"…...Inopacan",171,130,0,0,4,4
"…...Isabel",318,253,0,0,3,1
"…...Jaro",248,153,0,0,4,0
"…...Javier",170,129,0,0,7,4
"…...Julita",107,61,0,0,2,1
"…...Kananga",354,268,0,0,7,1
"…...La Paz",130,87,0,0,2,0
"…...Leyte",244,182,0,0,3,2
"…...MacArthur",170,114,0,0,3,0
"…...Mahaplag",225,154,0,0,1,0
"…...Matag-ob",136,101,0,0,7,2
"…...Matalom",279,218,0,0,4,2
"…...Mayorga",105,77,0,0,2,0
"…...Merida",228,168,0,0,5,0
"…...Ormoc City",1507,1986,4,5,28,49
"…...Palo",433,790,3,4,10,24
"…...Palompon",459,417,1,1,11,10
"…...Pastrana",127,73,1,0,3,0
"…...San Isidro",211,173,0,0,3,0
"…...San Miguel",136,85,0,0,6,2
"…...Santa Fe",132,72,0,0,1,0
"…...Tabango",233,194,1,0,6,4
"…...Tabontabon",82,56,1,0,2,0
"…...Tanauan",370,225,1,0,7,2
"…...Tolosa",143,95,0,0,3,1
"…...Tunga",39,25,0,0,0,0
"…...Villaba",321,244,1,1,7,2
"….NORTHERN SAMAR",3916,3720,24,23,111,108
"…...Allen",207,242,0,0,8,11
"…...Biri",71,47,0,0,2,1
"…...Bobon",174,82,1,0,3,2
"…...Capul",98,85,1,0,3,2
"…...Catarman",602,1387,3,18,31,68
"…...Catubig",186,142,0,1,6,6
"…...Gamay",141,137,0,1,1,1
"…...Laoang",391,314,3,0,5,3
"…...Lapinig",36,22,0,0,0,0
"…...Las Navas",144,98,2,1,3,1
"…...Lavezares",198,129,3,0,3,2
"…...Lope de Vega",104,63,1,0,5,3
"…...Mapanas",72,47,1,0,3,1
"…...Mondragon",258,147,0,0,6,0
"…...Palapag",232,157,0,0,3,1
"…...Pambujan",191,137,3,0,3,1
"…...Rosario",56,23,0,0,1,0
"…...San Antonio",65,56,0,0,1,0
"…...San Isidro",188,112,0,0,6,3
"…...San Jose",133,65,1,0,7,1
"…...San Roque",161,91,3,2,3,0
"…...San Vicente",48,38,0,0,1,1
"…...Silvino Lobos",60,36,2,0,0,0
"…...Victoria",100,63,0,0,7,0
"….SAMAR",4864,4472,12,8,79,67
"…...Almagro",68,44,0,0,1,0
"…...Basey",349,324,2,0,3,3
"…...City of Calbayog",1314,1443,2,2,25,27
"…...Calbiga",151,109,0,0,2,2
"…...City of Catbalogan",656,945,2,3,14,21
"…...Daram",218,173,0,0,1,0
"…...Gandara",217,172,1,1,6,4
"…...Hinabangan",77,45,0,0,0,0
"…...Jiabong",110,65,0,0,2,0
"…...Marabut",92,64,0,0,0,0
"…...Matuguinao",24,18,0,0,0,0
"…...Motiong",87,57,1,1,1,2
"…...Pagsanghan",53,34,0,0,0,0
"…...Paranas",195,112,0,0,5,0
"…...Pinabacdao",105,76,0,0,1,0
"…...San Jorge",104,72,1,1,1,1
"…...San Jose de Buan",23,16,0,0,1,0
"…...San Sebastian",40,31,0,0,0,0
"…...Santa Margarita",163,98,0,0,0,0
"…...Santa Rita",197,136,2,0,3,2
"…...Santo Niño",100,76,0,0,2,1
"…...Tagapul-an",50,38,0,0,0,0
"…...Talalora",55,40,0,0,1,1
"…...Tarangnan",160,103,0,0,3,1
"…...Villareal",154,112,0,0,6,2
"…...Zumarraga",102,69,1,0,1,0
"….SOUTHERN LEYTE",3308,3193,3,1,44,40
"…...Anahawan",64,151,0,0,0,2
"…...Bontoc",222,139,1,0,4,0
"…...Hinunangan",230,168,0,0,2,1
"…...Hinundayan",107,94,0,0,0,0
"…...Libagon",125,89,0,0,1,0
"…...Liloan",170,138,1,0,2,1
"…...Limasawa",46,31,0,0,1,0
"…...City of Maasin",706,888,1,0,9,20
"…...Macrohon",245,160,0,0,1,0
"…...Malitbog",184,139,0,0,3,0
"…...Padre Burgos",98,73,0,0,1,0
"…...Pintuyan",71,60,0,0,2,0
"…...Saint Bernard",189,117,0,0,5,2
"…...San Francisco",112,79,0,0,1,0
"…...San Juan",113,74,0,0,0,0
"…...San Ricardo",78,55,0,0,0,0
"…...Silago",96,63,0,0,0,0
"…...Sogod",328,586,0,1,8,14
"…...Tomas Oppus",124,89,0,0,4,0
"….CITY OF TACLOBAN",1436,3531,4,17,30,97
"REGION IX (ZAMBOANGA PENINSULA)",24331,23765,84,83,668,646
"….SULU",741,718,17,17,61,59
"…...Hadji Panglima Tahil",0,0,0,0,0,0
"…...Indanan",148,141,0,0,4,4
"…...Jolo",387,403,11,12,41,47
"…...Kalingalan Caluang",7,5,0,0,1,0
"…...Lugus",2,0,0,0,0,0
"…...Luuk",4,4,0,0,1,0
"…...Maimbung",42,46,3,3,6,5
"…...Old Panamao",11,9,0,1,0,0
"…...Omar",26,25,0,0,1,0
"…...Pandami",6,5,0,0,0,0
"…...Panglima Estino",2,0,1,0,0,0
"…...Pangutaran",22,20,2,1,3,3
"…...Parang",7,3,0,0,0,0
"…...Pata",3,0,0,0,0,0
"…...Patikul",24,17,0,0,2,0
"…...Siasi",39,39,0,0,0,0
"…...Talipao",7,0,0,0,2,0
"…...Tapul",3,1,0,0,0,0
"…...Tongkil",1,0,0,0,0,0
"….ZAMBOANGA DEL NORTE",6515,6235,14,16,127,110
"…...Baliguian",78,60,0,0,2,0
"…...City of Dapitan",735,848,1,1,15,28
"…...City of Dipolog",1288,1939,1,10,25,41
"…...Godod",42,22,0,0,0,0
"…...Gutalac",143,82,1,0,4,0
"…...Jose Dalman",166,123,0,0,5,3
"…...Kalawit",83,51,0,0,3,1
"…...Katipunan",297,220,0,0,6,1
"…...La Libertad",59,35,1,0,1,0
"…...Labason",264,249,1,1,4,4
"…...Leon T. Postigo",141,103,0,0,1,0
"…...Liloy",316,327,2,1,4,4
