"Geolocation","Total Deaths Place of Usual Residence","Total Deaths Place of Occurrence","Maternal Deaths Place of Usual Residence","Maternal Deaths Place of Occurrence","Infant Deaths Place of Usual Residence","Infant Deaths Place of Occurrence"
"…...Nagbukel",41,20,0,0,0,0
"…...Narvacan",375,371,1,0,12,6
"…...Quirino",39,30,0,0,1,0
"…...Salcedo",88,86,0,0,3,0
"…...San Emilio",60,41,0,0,1,0
"…...San Esteban",55,41,0,0,0,0
"…...San Ildefonso",59,36,0,0,1,1
"…...San Juan",206,116,0,0,3,0
"…...San Vicente",112,54,0,0,4,0
"…...Santa",132,79,0,0,1,0
"…...Santa Catalina",120,55,0,0,6,0
"…...Santa Cruz",316,178,0,0,5,1
"…...Santa Lucia",201,182,0,0,2,1
"…...Santa Maria",236,174,0,0,4,3
"…...Santiago",157,103,1,0,3,1
"…...Santo Domingo",203,102,0,0,2,1
"…...Sigay",14,10,0,0,0,0
"…...Sinait",235,217,0,0,6,4
"…...Sugpon",26,21,0,0,1,0
"…...Suyo",74,43,0,0,2,0
"…...Tagudin",340,418,0,0,11,4
"…...City of Vigan",433,765,0,0,11,34
"….LA UNION",6062,6333,13,14,163,207
"…...Agoo",511,681,1,3,18,17
"…...Aringay",342,196,2,0,14,2
"…...Bacnotan",295,264,1,0,7,0
"…...Bagulin",78,63,0,0,2,1
"…...Balaoan",352,366,2,1,14,3
"…...Bangar",260,143,0,0,6,0
"…...Bauang",641,292,1,0,19,1
"…...Burgos",53,26,0,0,0,0
"…...Caba",179,149,2,0,2,0
"…...Luna",305,185,0,0,4,3
"…...Naguilian",450,340,2,0,13,4
"…...Pugo",127,66,0,0,2,0
"…...Rosario",400,292,0,1,13,3
"…...City of San Fernando",874,2620,2,9,25,170
"…...San Gabriel",118,64,0,0,0,0
"…...San Juan",333,187,0,0,10,2
"…...Santo Tomas",281,139,0,0,9,1
"…...Santol",100,57,0,0,1,0
"…...Sudipen",150,77,0,0,1,0
"…...Tubao",213,126,0,0,3,0
"….PANGASINAN",24311,23639,45,44,827,791
"…...Agno",240,153,0,0,3,1
"…...Aguilar",328,202,0,0,13,1
"…...City of Alaminos",800,935,2,2,21,17
"…...Alcala",380,219,0,0,10,1
"…...Anda",286,211,0,0,3,0
"…...Asingan",471,335,0,0,18,7
"…...Balungao",255,177,0,0,9,1
"…...Bani",425,263,0,0,14,5
"…...Basista",288,148,0,0,14,1
"…...Bautista",258,153,0,0,10,2
"…...Bayambang",910,917,1,0,28,7
"…...Binalonan",528,306,3,0,17,2
"…...Binmaley",653,369,0,0,15,4
"…...Bolinao",579,485,2,0,23,8
"…...Bugallon",579,345,1,0,25,5
"…...Burgos",162,90,1,0,2,0
"…...Calasiao",742,404,1,0,32,2
"…...City of Dagupan",1473,4674,6,22,63,460
"…...Dasol",239,292,0,0,17,12
"…...Infanta",225,149,0,0,13,2
"…...Labrador",186,123,0,0,4,0
"…...Laoac",269,165,0,0,11,2
"…...Lingayen",943,918,0,1,29,9
"…...Mabini",172,91,0,0,5,0
"…...Malasiqui",1110,782,3,0,37,5
"…...Manaoag",546,374,0,0,20,7
"…...Mangaldan",812,445,1,0,29,3
"…...Mangatarem",587,526,4,3,15,6
"…...Mapandan",302,270,0,0,5,6
"…...Natividad",175,104,0,0,3,1
"…...Pozorrubio",558,470,3,0,28,5
"…...Rosales",511,935,3,1,8,26
"…...City of San Carlos",1539,2215,4,6,54,103
"…...San Fabian",655,395,0,0,24,4
"…...San Jacinto",329,176,1,0,14,1
"…...San Manuel",411,274,0,0,18,8
"…...San Nicolas",300,171,0,0,13,0
"…...San Quintin",302,190,1,1,18,4
"…...Santa Barbara",618,343,0,0,19,4
"…...Santa Maria",269,156,0,0,8,1
"…...Santo Tomas",130,75,0,0,3,0
"…...Sison",338,223,1,1,9,0
"…...Sual",278,196,0,0,12,3
"…...Tayug",337,632,2,1,10,12
"…...Umingan",560,421,0,0,24,8
"…...Urbiztondo",437,279,2,1,22,4
"…...City of Urdaneta",1185,1467,2,5,23,30
"…...Villasis",631,396,1,0,12,1
"REGION II (CAGAYAN VALLEY)",24616,24408,45,50,552,538
"….BATANES",123,114,0,0,11,9
"…...Basco",51,66,0,0,8,9
"…...Itbayat",18,16,0,0,2,0
"…...Ivana",9,7,0,0,0,0
"…...Mahatao",17,8,0,0,0,0
"…...Sabtang",13,8,0,0,1,0
"…...Uyugan",15,9,0,0,0,0
"….CAGAYAN",8959,9539,17,25,188,206
"…...Abulug",225,154,0,0,9,1
"…...Alcala",301,203,0,0,3,1
"…...Allacapan",246,119,0,0,10,2
"…...Amulung",322,183,1,0,7,1
"…...Aparri",543,476,1,1,15,17
"…...Baggao",576,368,2,0,12,2
"…...Ballesteros",267,230,0,0,6,5
"…...Buguey",226,121,2,2,3,1
"…...Calayan",84,65,0,0,0,0
"…...Camalaniugan",186,303,0,0,0,4
"…...Claveria",247,150,0,0,6,2
"…...Enrile",252,152,0,0,5,0
"…...Gattaran",403,276,1,0,8,1
"…...Gonzaga",292,254,2,1,10,7
"…...Iguig",241,111,0,0,3,0
"…...Lal-lo",325,171,1,0,9,2
"…...Lasam",293,216,2,1,10,2
"…...Pamplona",192,100,0,0,6,0
"…...Peñablanca",324,163,1,0,9,1
"…...Piat",199,178,0,1,4,1
"…...Rizal",146,88,0,0,2,0
"…...Sanchez-Mira",208,185,0,0,2,0
"…...Santa Ana",230,170,0,0,2,0
