"Geolocation","Place of Occurrence Both Sexes","Place of Occurrence Male","Place of Occurrence Female","Usual Residence Both Sexes","Usual Residence Male","Usual Residence Female"
"......Lidlidda",0,0,0,51,26,25
"......Magsingal",77,40,37,381,193,188
"......Nagbukel",1,0,1,48,26,22
"......Narvacan",1356,700,656,555,291,264
"......Quirino (Angkaki)",38,22,16,122,61,61
"......Salcedo (Baugen)",32,15,17,112,49,63
"......San Emilio",2,0,2,64,34,30
"......San Esteban",0,0,0,95,48,47
"......San Ildefonso",3,2,1,92,44,48
"......San Juan (Lapog)",0,0,0,257,122,135
"......San Vicente",7,2,5,137,73,64
"......Santa",18,8,10,170,90,80
"......Santa Catalina",5,1,4,142,89,53
"......Santa Cruz",11,3,8,494,264,230
"......Santa Lucia",179,96,83,303,166,137
"......Santa Maria",22,10,12,311,171,140
"......Santiago",3,2,1,168,83,85
"......Santo Domingo",40,21,19,310,156,154
"......Sigay",3,2,1,30,17,13
"......Sinait",1286,667,619,298,158,140
"......Sugpon",1,0,1,24,14,10
"......Suyo",4,3,1,126,67,59
"......Tagudin",678,355,323,511,271,240
"......City of Vigan (Capital)",1861,1016,845,609,323,286
"....LA UNION",10315,5472,4843,9719,5146,4573
"......Agoo",2519,1355,1164,856,464,392
"......Aringay",104,50,54,601,320,281
"......Bacnotan",217,120,97,483,254,229
"......Bagulin",29,13,16,179,92,87
"......Balaoan",449,236,213,455,239,216
"......Bangar",26,14,12,443,230,213
"......Bauang",55,21,34,1020,530,490
"......Burgos",4,3,1,102,36,66
"......Caba",68,37,31,284,150,134
"......Luna",9,2,7,389,196,193
"......Naguilian",495,252,243,653,358,295
"......Pugo",4,1,3,190,105,85
"......Rosario",222,113,109,670,349,321
"......City of San Fernando (Capital)",5918,3150,2768,1554,841,713
"......San Gabriel",51,24,27,229,123,106
"......San Juan",8,5,3,443,239,204
"......Santo Tomas",35,19,16,488,251,237
"......Santol",34,18,16,162,88,74
"......Sudipen",2,2,0,150,77,73
"......Tubao",66,37,29,368,204,164
"....PANGASINAN",42316,21968,20348,43298,22468,20830
"......Agno",67,38,29,385,199,186
"......Aguilar",194,108,86,641,332,309
"......City of Alaminos",4101,2129,1972,1415,758,657
"......Alcala",16,8,8,526,279,247
"......Anda",189,99,90,508,255,253
"......Asingan",265,141,124,707,376,331
"......Balungao",68,34,34,354,186,168
"......Bani",149,71,78,609,309,300
"......Basista",104,54,50,549,289,260
"......Bautista",56,27,29,412,220,192
"......Bayambang",1922,1000,922,1849,949,900
"......Binalonan",75,37,38,736,373,363
