"Geolocation","Place of Occurrence Both Sexes","Place of Occurrence Male","Place of Occurrence Female","Usual Residence Both Sexes","Usual Residence Male","Usual Residence Female"
"......Teresa",1038,539,499,1025,543,482
"....CITY OF LUCENA",8878,4640,4238,4420,2301,2119
"MIMAROPA REGION",43287,22559,20728,43467,22667,20800
"....MARINDUQUE",2788,1504,1284,2856,1543,1313
"......Boac (Capital)",1744,955,789,690,379,311
"......Buenavista",244,143,101,369,210,159
"......Gasan",40,19,21,419,230,189
"......Mogpog",11,5,6,337,185,152
"......Santa Cruz",468,242,226,641,336,305
"......Torrijos",281,140,141,400,203,197
"....OCCIDENTAL MINDORO",7184,3725,3459,7185,3735,3450
"......Abra de Ilog",319,170,149,494,255,239
"......Calintaan",138,67,71,309,164,145
"......Looc",15,7,8,60,31,29
"......Lubang",106,53,53,126,61,65
"......Magsaysay",383,203,180,546,296,250
"......Mamburao (Capital)",1764,915,849,938,480,458
"......Paluan",215,98,117,316,157,159
"......Rizal",244,127,117,492,261,231
"......Sablayan",1149,588,561,1257,650,607
"......San Jose",2494,1325,1169,1967,1034,933
"......Santa Cruz",357,172,185,680,346,334
"....ORIENTAL MINDORO",12735,6657,6078,12761,6678,6083
"......Baco",123,63,60,601,308,293
"......Bansud",110,56,54,624,330,294
"......Bongabong",627,323,304,1177,609,568
"......Bulalacao (San Pedro)",638,349,289,767,413,354
"......City of Calapan (Capital)",5352,2850,2502,2073,1102,971
"......Gloria",106,58,48,729,388,341
"......Mansalay",321,154,167,899,456,443
"......Naujan",307,144,163,1275,653,622
"......Pinamalayan",2331,1200,1131,1168,589,579
"......Pola",30,13,17,454,215,239
"......Puerto Galera",197,107,90,521,292,229
"......Roxas",1675,884,791,946,531,415
"......San Teodoro",77,27,50,259,130,129
"......Socorro",462,245,217,534,293,241
"......Victoria",379,184,195,734,369,365
"....PALAWAN",12044,6300,5744,13120,6857,6263
"......Aborlan",912,471,441,615,323,292
"......Agutaya",54,31,23,80,43,37
"......Araceli",50,27,23,167,84,83
"......Balabac",519,257,262,662,332,330
"......Bataraza",1054,569,485,1309,697,612
"......Brooke's Point",1636,847,789,1264,653,611
"......Busuanga",141,73,68,297,161,136
"......Cagayancillo",43,20,23,54,27,27
"......Coron",400,205,195,804,414,390
"......Culion",944,487,457,325,158,167
"......Cuyo",275,163,112,275,155,120
"......Dumaran",290,148,142,296,150,146
"......El Nido (Bacuit)",462,234,228,743,376,367
"......Kalayaan",0,0,0,2,1,1
"......Linapacan",93,43,50,172,89,83
"......Magsaysay",54,30,24,140,77,63
"......Narra",931,480,451,1234,614,620
"......Quezon",572,299,273,688,364,324
"......Rizal (Marcos)",848,438,410,952,502,450
"......Roxas",882,475,407,975,528,447
"......San Vicente",281,159,122,406,229,177
"......Sofronio Española",491,257,234,621,328,293
"......Taytay",1112,587,525,1039,552,487
"....ROMBLON",4123,2133,1990,4173,2158,2015
"......Alcantara",45,19,26,249,115,134
"......Banton",17,12,5,22,13,9
"......Cajidiocan",439,226,213,325,169,156
"......Calatrava",34,15,19,172,93,79
"......Concepcion",11,4,7,20,8,12
"......Corcuera",53,25,28,79,41,38
"......Ferrol",5,1,4,93,42,51
"......Looc",428,211,217,289,145,144
"......Magdiwang",103,58,45,237,124,113
"......Odiongan",1319,684,635,627,320,307
"......Romblon (Capital)",768,398,370,618,319,299
"......San Agustin",274,143,131,388,202,186
"......San Andres",223,132,91,234,133,101
"......San Fernando",150,80,70,328,180,148
"......San Jose",141,69,72,184,94,90
"......Santa Fe",56,31,25,193,109,84
"......Santa Maria (Imelda)",57,25,32,115,51,64
"....CITY OF PUERTO PRINCESA",4413,2240,2173,3372,1696,1676
"REGION V (BICOL REGION)",97478,50533,46945,97716,50668,47048
"....ALBAY",21083,10890,10193,20813,10766,10047
"......Bacacay",642,327,315,1105,555,550
"......Camalig",483,246,237,1000,515,485
"......Daraga (Locsin)",6059,3202,2857,2030,1059,971
"......Guinobatan",648,324,324,1274,658,616
"......Jovellar",151,72,79,270,140,130
"......City of Legazpi (Capital)",2889,1505,1384,3153,1668,1485
"......Libon",1175,591,584,1271,632,639
"......City of Ligao",2962,1533,1429,1970,1007,963
"......Malilipot",530,255,275,566,277,289
"......Malinao",288,143,145,719,367,352
"......Manito",301,159,142,383,203,180
"......Oas",59,27,32,940,506,434
"......Pio Duran",785,396,389,818,414,404
"......Polangui",961,475,486,1430,724,706
"......Rapu-Rapu",296,166,130,499,275,224
"......Santo Domingo (Libog)",121,68,53,492,268,224
"......City of Tabaco",1936,987,949,1995,1033,962
"......Tiwi",797,414,383,898,465,433
"....CAMARINES NORTE",11036,5743,5293,11179,5810,5369
"......Basud",126,70,56,869,458,411
"......Capalonga",278,140,138,510,256,254
"......Daet (Capital)",6822,3584,3238,1839,978,861
"......Jose Panganiban",589,294,295,1164,595,569
"......Labo",1248,663,585,1943,1013,930
"......Mercedes",307,158,149,1042,557,485
"......Paracale",242,110,132,1287,634,653
"......San Lorenzo Ruiz (Imelda)",18,7,11,264,129,135
"......San Vicente",21,10,11,222,118,104
"......Santa Elena",707,355,352,764,400,364
"......Talisay",63,28,35,400,210,190
"......Vinzons",615,324,291,875,462,413
"....CAMARINES SUR",32909,17076,15833,32652,16935,15717
"......Baao",813,397,416,1068,523,545
"......Balatan",686,348,338,638,325,313
"......Bato",506,262,244,865,439,426
"......Bombon",357,190,167,285,141,144
"......Buhi",1084,558,526,1429,751,678
"......Bula",597,293,304,1114,559,555
"......Cabusao",1881,1029,852,289,154,135
"......Calabanga",385,214,171,1406,743,663
"......Camaligan",6,2,4,353,182,171
"......Canaman",69,45,24,488,257,231
"......Caramoan",614,303,311,808,412,396
"......Del Gallego",496,265,231,460,250,210
"......Gainza",6,3,3,158,83,75
"......Garchitorena",495,260,235,536,275,261
"......Goa",1161,596,565,1322,677,645
"......City of Iriga",1528,812,716,1576,862,714
"......Lagonoy",696,354,342,848,436,412
"......Libmanan",629,312,317,1750,893,857
"......Lupi",53,36,17,456,240,216
"......Magarao",126,71,55,374,195,179
"......Milaor",16,6,10,518,261,257
"......Minalabac",318,169,149,763,409,354
"......Nabua",748,357,391,1212,623,589
"......City of Naga",13315,6867,6448,3172,1644,1528
"......Ocampo",400,198,202,794,394,400
"......Pamplona",412,217,195,610,317,293
"......Pasacao",414,213,201,858,432,426
"......Pili (Capital)",636,343,293,1672,864,808
"......Presentacion (Parubcan)",95,47,48,304,142,162
"......Ragay",705,369,336,932,483,449
"......Sagñay",395,200,195,673,342,331
"......San Fernando",126,56,70,556,273,283
"......San Jose",235,124,111,686,356,330
"......Sipocot",779,420,359,1049,586,463
"......Siruma",217,138,79,321,186,135
"......Tigaon",790,425,365,1000,539,461
"......Tinambac",1120,577,543,1309,687,622
"....CATANDUANES",4182,2177,2005,4177,2172,2005
"......Bagamanoc",7,2,5,164,72,92
"......Baras",10,7,3,210,97,113
"......Bato",189,90,99,313,168,145
"......Caramoran",193,100,93,541,277,264
"......Gigmoto",93,59,34,140,80,60
"......Pandan",479,256,223,381,209,172
"......Panganiban (Payo)",3,0,3,128,56,72
"......San Andres (Calolbon)",313,166,147,613,326,287
"......San Miguel",13,7,6,233,112,121
"......Viga",454,219,235,300,152,148
"......Virac (Capital)",2428,1271,1157,1154,623,531
"....MASBATE",14716,7619,7097,15060,7815,7245
"......Aroroy",1057,535,522,1244,626,618
"......Baleno",426,219,207,518,265,253
"......Balud",567,282,285,674,344,330
"......Batuan",77,46,31,197,99,98
"......Cataingan",520,295,225,667,368,299
"......Cawayan",1202,632,570,1269,659,610
"......Claveria",470,241,229,531,275,256
"......Dimasalang",352,183,169,419,218,201
"......Esperanza",236,132,104,290,161,129
"......Mandaon",679,356,323,763,399,364
"......City of Masbate (Capital)",3988,2068,1920,2147,1128,1019
"......Milagros",880,456,424,1032,542,490
"......Mobo",472,229,243,784,387,397
"......Monreal",81,40,41,327,163,164
"......Palanas",433,219,214,462,235,227
"......Pio V. Corpuz (Limbuhan)",337,170,167,392,194,198
"......Placer",876,446,430,1012,524,488
"......San Fernando",83,51,32,310,174,136
"......San Jacinto",810,418,392,459,244,215
"......San Pascual",558,287,271,710,382,328
"......Uson",612,314,298,853,428,425
"....SORSOGON",13552,7028,6524,13835,7170,6665
"......Barcelona",81,43,38,298,159,139
"......Bulan",845,443,402,1785,921,864
"......Bulusan",3,1,2,257,124,133
"......Casiguran",408,204,204,697,353,344
"......Castilla",877,454,423,1118,591,527
"......Donsol",752,393,359,853,441,412
"......Gubat",877,459,418,812,398,414
"......Irosin",1951,990,961,1130,583,547
"......Juban",350,194,156,599,319,280
"......Magallanes",338,177,161,588,305,283
"......Matnog",362,197,165,755,425,330
"......Pilar",676,331,345,1265,636,629
"......Prieto Diaz",87,48,39,339,191,148
"......Santa Magdalena",76,43,33,249,132,117
"......City of Sorsogon (Capital)",5869,3051,2818,3090,1592,1498
"REGION VI (WESTERN VISAYAS)",87328,45503,41825,87204,45428,41776
"....AKLAN",7553,3954,3599,7434,3895,3539
"......Altavas",226,129,97,270,142,128
"......Balete",143,73,70,358,178,180
"......Banga",53,29,24,457,231,226
"......Batan",21,12,9,329,188,141
"......Buruanga",80,44,36,204,96,108
"......Ibajay",664,364,300,698,379,319
"......Kalibo (Capital)",5054,2628,2426,1118,576,542
"......Lezo",27,11,16,149,76,73
"......Libacao",213,109,104,340,175,165
"......Madalag",147,69,78,257,128,129
"......Makato",27,14,13,374,210,164
"......Malay",564,300,264,786,405,381
"......Malinao",81,45,36,273,148,125
"......Nabas",74,33,41,508,272,236
"......New Washington",116,64,52,602,312,290
"......Numancia",49,26,23,411,215,196
"......Tangalan",14,4,10,300,164,136
"....ANTIQUE",5617,2964,2653,6045,3185,2860
"......Anini-y",68,37,31,166,92,74
"......Barbaza",177,74,103,240,108,132
"......Belison",41,18,23,132,61,71
"......Bugasong",103,58,45,242,138,104
"......Caluya",316,162,154,508,261,247
"......Culasi",491,269,222,417,232,185
"......Hamtic",173,79,94,523,273,250
"......Laua-an",152,82,70,260,146,114
"......Libertad",34,15,19,182,90,92
"......Pandan",341,171,170,385,199,186
"......Patnongon",130,70,60,336,179,157
"......San Jose (Capital)",2138,1159,979,614,328,286
"......San Remigio",226,119,107,436,232,204
"......Sebaste",196,99,97,197,95,102
"......Sibalom",633,351,282,707,394,313
"......Tibiao",59,26,33,233,122,111
"......Tobias Fornier (Dao)",163,83,80,236,113,123
"......Valderrama",176,92,84,231,122,109
"....CAPIZ",9220,4892,4328,9598,5087,4511
"......Cuartero",19,10,9,302,162,140
"......Dao",159,92,67,331,192,139
"......Dumalag",3,3,0,274,156,118
"......Dumarao",195,97,98,587,311,276
"......Ivisan",392,195,197,454,247,207
"......Jamindan",86,48,38,404,229,175
"......Ma-ayon",145,78,67,548,279,269
"......Mambusao",1069,617,452,387,229,158
"......Panay",11,5,6,525,266,259
"......Panitan",31,13,18,462,254,208
"......Pilar",154,68,86,600,299,301
"......Pontevedra",969,525,444,630,335,295
"......President Roxas",622,316,306,445,235,210
"......City of Roxas (Capital)",4779,2522,2257,2311,1199,1112
"......Sapi-an",41,19,22,327,163,164
"......Sigma",118,56,62,357,189,168
"......Tapaz",427,228,199,654,342,312
"....GUIMARAS",2109,1080,1029,2447,1245,1202
"......Buenavista",109,64,45,637,331,306
"......Jordan (Capital)",1907,969,938,553,287,266
"......Nueva Valencia",84,40,44,511,253,258
"......San Lorenzo",3,1,2,410,198,212
"......Sibunag",6,6,0,336,176,160
"....ILOILO",19612,10211,9401,23596,12253,11343
"......Ajuy",82,40,42,705,359,346
"......Alimodian",1092,557,535,421,203,218
"......Anilao",79,38,41,324,161,163
"......Badiangan",50,23,27,273,141,132
"......Balasan",969,503,466,371,194,177
"......Banate",61,37,24,347,187,160
"......Barotac Nuevo",1696,921,775,710,393,317
"......Barotac Viejo",795,431,364,631,344,287
"......Batad",50,30,20,229,114,115
"......Bingawan",30,19,11,202,100,102
"......Cabatuan",958,495,463,679,342,337
"......Calinog",1406,719,687,908,465,443
"......Carles",306,166,140,706,366,340
"......Concepcion",291,149,142,630,321,309
"......Dingle",42,25,17,415,204,211
"......Dueñas",49,26,23,357,195,162
"......Dumangas",734,409,325,848,460,388
"......Estancia",145,71,74,535,285,250
"......Guimbal",1600,853,747,349,167,182
"......Igbaras",16,9,7,326,180,146
"......Janiuay",583,287,296,759,374,385
"......Lambunao",799,432,367,953,519,434
"......Leganes",79,36,43,442,220,222
"......Lemery",99,64,35,372,210,162
"......Leon",34,11,23,574,274,300
"......Maasin",71,36,35,444,237,207
"......Miagao",34,20,14,635,327,308
"......Mina",44,18,26,238,116,122
"......New Lucena",11,5,6,238,113,125
"......Oton",16,6,10,996,527,469
"......City of Passi",911,488,423,1171,606,565
"......Pavia",152,84,68,828,424,404
"......Pototan",2624,1296,1328,1067,526,541
"......San Dionisio",25,15,10,488,267,221
"......San Enrique",10,6,4,409,212,197
"......San Joaquin",507,255,252,569,288,281
"......San Miguel",18,8,10,339,201,138
"......San Rafael",4,1,3,183,92,91
"......Santa Barbara",1437,724,713,849,462,387
"......Sara",1547,819,728,801,409,392
"......Tigbauan",23,11,12,689,381,308
"......Tubungan",114,59,55,292,147,145
"......Zarraga",19,9,10,294,140,154
"....NEGROS OCCIDENTAL",26710,13842,12868,27726,14357,13369
"......City of Bago",1319,692,627,1821,956,865
"......Binalbagan",563,310,253,849,469,380
"......City of Cadiz",1761,934,827,1587,847,740
"......Calatrava",304,150,154,888,445,443
"......Candoni",140,72,68,219,113,106
"......Cauayan",696,359,337,1226,626,600
"......Enrique B. Magalona (Saravia)",274,131,143,554,288,266
"......City of Escalante",1074,554,520,1266,651,615
"......City of Himamaylan",1076,515,561,1254,614,640
"......Hinigaran",452,238,214,793,414,379
"......Hinoba-an (Asia)",621,312,309,806,397,409
"......Ilog",621,316,305,611,320,291
"......Isabela",519,268,251,633,321,312
"......City of Kabankalan",4062,2087,1975,2484,1273,1211
"......City of La Carlota",408,205,203,476,243,233
"......La Castellana",817,402,415,960,479,481
"......Manapla",376,174,202,448,206,242
"......Moises Padilla (Magallon)",318,164,154,436,217,219
"......Murcia",862,435,427,1119,569,550
"......Pontevedra",265,137,128,526,281,245
"......Pulupandan",71,32,39,234,121,113
"......City of Sagay",1752,918,834,1402,731,671
"......Salvador Benedicto",273,150,123,386,219,167
"......City of San Carlos",2491,1298,1193,1469,771,698
"......San Enrique",66,29,37,207,89,118
"......City of Silay",2583,1358,1225,1265,653,612
"......City of Sipalay",567,294,273,766,401,365
"......City of Talisay",900,504,396,1330,734,596
"......Toboso",276,144,132,534,287,247
"......Valladolid",722,403,319,354,190,164
"......City of Victorias",481,257,224,823,432,391
"....CITY OF BACOLOD",6766,3559,3207,5436,2874,2562
"....CITY OF ILOILO",9741,5001,4740,4922,2532,2390
"REGION VII (CENTRAL VISAYAS)",117085,60794,56291,117337,60941,56396
"....BOHOL",17937,9163,8774,18025,9199,8826
"......Alburquerque",5,2,3,113,59,54
"......Alicia",143,74,69,332,172,160
"......Anda",118,64,54,204,108,96
"......Antequera",32,17,15,153,77,76
"......Baclayon",52,27,25,245,122,123
"......Balilihan",30,13,17,236,131,105
"......Batuan",28,12,16,200,103,97
"......Bien Unido",191,102,89,321,173,148
"......Bilar",98,50,48,245,126,119
"......Buenavista",167,84,83,464,250,214
"......Calape",345,190,155,376,203,173
"......Candijay",209,107,102,376,186,190
"......Carmen",1065,546,519,715,373,342
"......Catigbian",165,91,74,302,155,147
"......Clarin",173,93,80,295,154,141
"......Corella",21,10,11,107,49,58
"......Cortes",42,23,19,198,106,92
"......Dagohoy",104,50,54,316,164,152
"......Danao",102,52,50,279,147,132
"......Dauis",199,104,95,681,354,327
"......Dimiao",53,30,23,138,75,63
"......Duero",23,8,15,215,99,116
"......Garcia Hernandez",37,18,19,230,107,123
"......Getafe",277,135,142,536,277,259
"......Guindulman",77,37,40,371,200,171
"......Inabanga",285,134,151,621,286,335
"......Jagna",967,488,479,417,210,207
"......Lila",10,4,6,97,54,43
"......Loay",10,7,3,194,99,95
"......Loboc",43,26,17,185,92,93
"......Loon",202,104,98,498,249,249
"......Mabini",245,119,126,398,192,206
"......Maribojoc",43,22,21,222,114,108
"......Panglao",232,122,110,551,294,257
"......Pilar",153,84,69,375,191,184
"......Pres. Carlos P. Garcia (Pitogo)",198,90,108,337,152,185
"......Sagbayan (Borja)",49,28,21,328,171,157
"......San Isidro",21,14,7,115,50,65
"......San Miguel",277,137,140,418,208,210
"......Sevilla",12,8,4,119,61,58
"......Sierra Bullones",149,79,70,312,166,146
"......Sikatuna",21,12,9,83,44,39
"......City of Tagbilaran (Capital)",6194,3149,3045,1283,624,659
"......Talibon",1187,621,566,1084,556,528
"......Trinidad",218,107,111,487,250,237
"......Tubigon",504,254,250,597,312,285
"......Ubay",3052,1557,1495,1369,710,659
"......Valencia",109,58,51,287,144,143
"....CEBU",40808,21303,19505,49099,25600,23499
"......Alcantara",137,64,73,260,138,122
"......Alcoy",172,89,83,297,155,142
"......Alegria",168,79,89,327,163,164
"......Aloguinsan",108,54,54,493,269,224
"......Argao",439,236,203,955,488,467
"......Asturias",220,121,99,700,363,337
"......Badian",417,214,203,570,295,275
"......Balamban",2479,1299,1180,1325,687,638
"......Bantayan",1079,582,497,1052,565,487
"......Barili",623,338,285,1146,597,549
"......City of Bogo",4378,2292,2086,1370,719,651
"......Boljoon",98,56,42,181,108,73
"......Borbon",130,67,63,599,305,294
"......City of Carcar",5768,2971,2797,2253,1118,1135
"......Carmen",93,43,50,889,464,425
"......Catmon",77,38,39,432,228,204
"......Compostela",251,135,116,962,529,433
"......Consolacion",998,525,473,2420,1238,1182
"......Cordova",543,285,258,1156,634,522
"......Daanbantayan",854,452,402,1296,696,600
"......Dalaguete",440,236,204,940,490,450
"......Danao City",4739,2451,2288,2657,1348,1309
"......Dumanjug",242,121,121,828,433,395
"......Ginatilan",57,29,28,166,85,81
"......Liloan",531,274,257,2304,1216,1088
"......Madridejos",273,161,112,562,309,253
"......Malabuyoc",250,139,111,291,162,129
"......Medellin",54,26,28,887,459,428
"......Minglanilla",1315,682,633,2313,1206,1107
"......Moalboal",171,96,75,457,227,230
"......City of Naga",1580,790,790,2230,1123,1107
"......Oslob",208,124,84,337,196,141
"......Pilar",61,34,27,109,55,54
"......Pinamungajan",271,144,127,984,527,457
"......Poro",1,0,1,279,155,124
"......Ronda",91,44,47,250,141,109
"......Samboan",84,49,35,213,115,98
"......San Fernando",414,207,207,1230,606,624
"......San Francisco",1102,602,500,924,488,436
"......San Remigio",140,77,63,806,437,369
"......Santa Fe",222,121,101,488,260,228
"......Santander",77,40,37,220,120,100
"......Sibonga",349,169,180,781,390,391
"......Sogod",401,222,179,525,282,243
"......Tabogon",32,13,19,564,288,276
"......Tabuelan",310,169,141,414,221,193
"......City of Talisay",4748,2461,2287,4296,2205,2091
"......City of Toledo",3239,1673,1566,3434,1779,1655
"......Tuburan",368,205,163,821,456,365
"......Tudela",6,4,2,106,62,44
"....NEGROS ORIENTAL",19832,10272,9560,20142,10449,9693
"......Amlan (Ayuquitan)",97,50,47,369,197,172
"......Ayungon",171,79,92,609,301,308
"......Bacong",133,53,80,550,277,273
"......City of Bais",1104,547,557,1060,519,541
"......Basay",259,123,136,470,233,237
"......City of Bayawan (Tulong)",2217,1151,1066,1851,968,883
"......Bindoy (Payabon)",714,360,354,598,310,288
"......City of Canlaon",546,276,270,791,395,396
"......Dauin",78,33,45,386,192,194
"......City of Dumaguete (Capital)",8657,4598,4059,1854,975,879
"......City of Guihulngan",1531,789,742,1547,807,740
"......Jimalalud",398,200,198,524,269,255
"......La Libertad",260,133,127,530,284,246
"......Mabinay",666,343,323,1248,655,593
"......Manjuyod",86,46,40,587,295,292
"......Pamplona",123,66,57,627,330,297
"......San Jose",33,20,13,307,174,133
"......Santa Catalina",777,392,385,1167,596,571
"......Siaton",916,457,459,1269,659,610
"......Sibulan",150,86,64,982,527,455
"......City of Tanjay",137,70,67,943,492,451
"......Tayasan",328,171,157,482,258,224
"......Valencia (Luzurriaga)",76,44,32,557,302,255
"......Vallehermoso",257,125,132,463,240,223
"......Zamboanguita",118,60,58,371,194,177
"....SIQUIJOR",997,497,500,1061,530,531
"......Enrique Villanueva",5,2,3,67,36,31
"......Larena",3,2,1,104,57,47
"......Lazi",42,22,20,258,128,130
"......Maria",21,13,8,139,77,62
"......San Juan",9,4,5,190,78,112
"......Siquijor (Capital)",917,454,463,303,154,149
"....CITY OF CEBU",20914,10950,9964,15207,8004,7203
"....CITY OF LAPU-LAPU",7289,3808,3481,8137,4218,3919
"....CITY OF MANDAUE",9308,4801,4507,5666,2941,2725
"REGION VIII (EASTERN VISAYAS)",59808,30905,28903,60003,31023,28980
"....BILIRAN",2708,1402,1306,2654,1372,1282
"......Almeria",64,37,27,224,122,102
"......Biliran",76,43,33,280,149,131
"......Cabucgayan",152,78,74,275,131,144
"......Caibiran",189,103,86,356,182,174
"......Culaba",129,64,65,212,105,107
"......Kawayan",118,57,61,279,151,128
"......Maripipi",49,27,22,70,39,31
"......Naval (Capital)",1931,993,938,958,493,465
"....EASTERN SAMAR",6175,3163,3012,6333,3229,3104
"......Arteche",142,78,64,226,117,109
"......Balangiga",437,216,221,202,91,111
"......Balangkayan",21,10,11,115,56,59
"......City of Borongan (Capital)",1625,857,768,877,457,420
"......Can-avid",28,12,16,332,160,172
"......Dolores",864,429,435,797,402,395
"......General MacArthur",157,88,69,201,104,97
"......Giporlos",9,4,5,169,89,80
"......Guiuan",994,495,499,729,352,377
"......Hernani",7,3,4,96,56,40
"......Jipapad",52,25,27,92,44,48
"......Lawaan",11,7,4,187,98,89
"......Llorente",74,40,34,183,96,87
"......Maslog",56,24,32,67,31,36
"......Maydolong",105,53,52,235,125,110
"......Mercedes",1,1,0,79,39,40
"......Oras",965,485,480,521,262,259
"......Quinapondan",118,63,55,188,91,97
"......Salcedo",57,32,25,207,112,95
"......San Julian",42,23,19,180,100,80
"......San Policarpo",77,37,40,185,102,83
"......Sulat",64,40,24,180,105,75
"......Taft",269,141,128,285,140,145
"....LEYTE",22409,11550,10859,24190,12552,11638
"......Abuyog",603,308,295,576,294,282
"......Alangalang",231,131,100,672,354,318
"......Albuera",584,307,277,788,412,376
"......Babatngon",290,151,139,474,244,230
"......Barugo",143,66,77,481,232,249
"......Bato",117,62,55,518,264,254
"......City of Baybay",1867,978,889,1492,789,703
"......Burauen",787,389,398,793,400,393
"......Calubian",378,207,171,374,208,166
"......Capoocan",180,83,97,459,237,222
"......Carigara",1250,666,584,772,413,359
"......Dagami",197,102,95,495,251,244
"......Dulag",228,122,106,560,307,253
"......Hilongos",1224,596,628,878,418,460
"......Hindang",137,67,70,267,122,145
"......Inopacan",85,43,42,254,134,120
"......Isabel",348,174,174,596,297,299
"......Jaro",249,115,134,647,330,317
"......Javier (Bugho)",120,63,57,359,191,168
"......Julita",19,6,13,196,96,100
"......Kananga",286,150,136,902,466,436
"......La Paz",40,23,17,274,155,119
"......Leyte",315,158,157,612,305,307
"......MacArthur",1,1,0,326,182,144
"......Mahaplag",15,6,9,287,152,135
"......Matag-ob",188,80,108,283,126,157
"......Matalom",174,89,85,397,210,187
"......Mayorga",312,170,142,249,130,119
"......Merida",296,151,145,422,215,207
"......Ormoc City",5590,2929,2661,3384,1787,1597
"......Palo",4289,2201,2088,1075,575,500
"......Palompon",338,174,164,712,388,324
"......Pastrana",147,77,70,335,173,162
"......San Isidro",206,100,106,363,193,170
"......San Miguel",88,46,42,302,162,140
"......Santa Fe",108,49,59,326,161,165
"......Tabango",291,146,145,368,193,175
"......Tabontabon",58,32,26,186,102,84
"......Tanauan",241,126,115,819,416,403
"......Tolosa",95,43,52,318,154,164
"......Tunga",31,21,10,119,63,56
"......Villaba",263,142,121,480,251,229
"....NORTHERN SAMAR",7489,3855,3634,7607,3919,3688
"......Allen",1248,675,573,445,251,194
"......Biri",154,79,75,178,90,88
"......Bobon",99,49,50,297,157,140
"......Capul",143,68,75,172,79,93
"......Catarman (Capital)",2697,1365,1332,1086,544,542
"......Catubig",460,224,236,478,234,244
"......Gamay",488,270,218,337,179,158
"......Laoang",496,253,243,545,275,270
"......Lapinig",51,23,28,169,95,74
"......Las Navas",129,71,58,266,141,125
"......Lavezares",14,8,6,440,234,206
"......Lope de Vega",43,16,27,107,48,59
"......Mapanas",102,55,47,229,120,109
"......Mondragon",297,149,148,495,249,246
"......Palapag",277,137,140,432,220,212
"......Pambujan",209,110,99,314,158,156
"......Rosario",67,34,33,182,90,92
"......San Antonio",88,45,43,110,59,51
"......San Isidro",66,31,35,406,208,198
"......San Jose",25,15,10,155,84,71
"......San Roque",184,94,90,368,199,169
"......San Vicente",26,17,9,56,29,27
"......Silvino Lobos",82,43,39,112,61,51
"......Victoria",44,24,20,228,115,113
"....SAMAR",10906,5606,5300,11570,5965,5605
"......Almagro",47,24,23,107,52,55
"......Basey",787,396,391,660,349,311
"......City of Calbayog",3546,1853,1693,2949,1530,1419
"......Calbiga",140,70,70,345,187,158
"......City of Catbalogan (Capital)",3694,1914,1780,1921,980,941
"......Daram",314,158,156,618,305,313
"......Gandara",415,209,206,410,207,203
"......Hinabangan",41,20,21,163,80,83
"......Jiabong",140,64,76,279,134,145
"......Marabut",29,13,16,200,104,96
"......Matuguinao",57,23,34,109,48,61
"......Motiong",174,90,84,236,132,104
"......Pagsanghan",16,10,6,55,34,21
"......Paranas (Wright)",165,78,87,512,252,260
"......Pinabacdao",125,56,69,241,119,122
"......San Jorge",48,19,29,231,104,127
"......San Jose de Buan",92,56,36,135,80,55
"......San Sebastian",56,30,26,105,62,43
"......Santa Margarita",45,25,20,355,191,164
"......Santa Rita",254,131,123,548,274,274
"......Santo Niño",56,29,27,141,75,66
"......Tagapul-an",67,36,31,95,57,38
"......Talalora",82,43,39,109,58,51
"......Tarangnan",304,159,145,461,247,214
"......Villareal",171,83,88,364,184,180
"......Zumarraga",41,17,24,221,120,101
"....SOUTHERN LEYTE",4469,2335,2134,4410,2301,2109
"......Anahawan",508,259,249,76,43,33
"......Bontoc",16,6,10,312,161,151
"......Hinunangan",202,105,97,318,166,152
"......Hinundayan",5,4,1,112,59,53
"......Libagon",8,3,5,167,82,85
"......Liloan",137,64,73,241,117,124
"......Limasawa",14,8,6,63,37,26
"......City of Maasin (Capital)",1818,964,854,862,449,413
"......Macrohon",6,1,5,255,149,106
"......Malitbog",12,3,9,184,84,100
"......Padre Burgos",29,14,15,132,67,65
"......Pintuyan",137,71,66,124,69,55
"......Saint Bernard",86,48,38,291,153,138
"......San Francisco",6,3,3,127,61,66
"......San Juan (Cabalian)",2,0,2,147,78,69
"......San Ricardo",3,2,1,80,39,41
"......Silago",29,11,18,119,62,57
"......Sogod",1415,749,666,637,337,300
"......Tomas Oppus",36,20,16,163,88,75
"....CITY OF TACLOBAN",5652,2994,2658,3239,1685,1554
"REGION IX (ZAMBOANGA PENINSULA)",54219,28196,26023,55313,28712,26601
"....ZAMBOANGA DEL NORTE",14693,7607,7086,15333,7934,7399
"......Bacungan (Leon T. Postigo)",356,192,164,459,248,211
"......Baliguian",115,69,46,246,128,118
"......City of Dapitan",2597,1349,1248,1271,649,622
"......City of Dipolog (Capital)",3235,1689,1546,1940,995,945
"......Godod",68,32,36,212,110,102
"......Gutalac",240,122,118,660,349,311
"......Jose Dalman (Ponot)",395,207,188,490,261,229
"......Kalawit",173,85,88,345,173,172
"......Katipunan",300,152,148,588,292,296
"......La Libertad",17,8,9,89,46,43
"......Labason",857,449,408,764,397,367
"......Liloy",1115,572,543,672,358,314
"......Manukan",403,199,204,492,240,252
"......Mutia",9,4,5,155,70,85
"......Piñan (New Piñan)",281,124,157,301,147,154
"......Polanco",103,54,49,643,350,293
