"Geolocation","Total Deaths Place of Usual Residence","Total Deaths Place of Occurrence","Maternal Deaths Place of Usual Residence","Maternal Deaths Place of Occurrence","Infant Deaths Place of Usual Residence","Infant Deaths Place of Occurrence"
"PHILIPPINES",694821,694821,1868,1868,21593,21593
"NATIONAL CAPITAL REGION (NCR)",82410,96411,224,280,3011,3810
"......City of Caloocan",10111,8463,25,27,318,189
"......City of Las Piñas",3937,4718,11,13,140,174
"......City of Makati",3046,2927,10,9,85,69
"......City of Malabon",2615,1677,6,3,100,36
"......City of Mandaluyong",2328,2078,5,4,62,49
"......City of Manila",12497,20185,35,71,425,1073
"......City of Marikina",3629,4034,9,23,112,162
"......City of Muntinlupa",3229,3856,6,5,163,159
"......City of Navotas",1773,1127,8,3,54,18
"......City of Parañaque",3993,3117,9,4,163,105
"......Pasay City",2428,2262,6,4,79,56
"......City of Pasig",4651,5823,15,16,208,304
"......Quezon City",18158,27554,58,79,696,1115
"......City of San Juan",796,1004,0,0,13,14
"......City of Taguig",4525,3885,13,11,207,147
"......City of Valenzuela",4265,3410,8,8,164,128
"......Pateros",429,291,0,0,22,12
"CORDILLERA ADMINISTRATIVE REGION (CAR)",10092,10266,28,26,275,243
"....ABRA",1823,1574,7,4,45,15
"......Bangued (Capital)",384,596,0,2,10,8
"......Boliney",14,12,0,0,0,0
"......Bucay",148,110,1,0,3,1
"......Bucloc",13,11,0,0,2,1
"......Daguioman",13,13,0,0,0,0
"......Danglas",26,13,0,0,0,0
"......Dolores",100,94,0,0,2,0
"......La Paz",112,69,1,0,5,0
"......Lacub",10,5,0,0,0,0
"......Lagangilang",124,69,1,1,3,1
"......Lagayan",47,32,0,0,2,0
"......Langiden",12,11,0,0,0,0
"......Licuan-Baay (Licuan)",21,12,0,0,0,0
"......Luba",52,37,1,0,1,0
"......Malibcong",29,18,0,0,0,0
"......Manabo",88,69,1,1,1,0
"......Peñarrubia",56,34,0,0,2,2
"......Pidigan",99,52,1,0,1,0
"......Pilar",85,58,0,0,2,0
"......Sallapadan",35,26,0,0,1,0
"......San Isidro",30,17,0,0,2,0
"......San Juan",66,42,0,0,0,0
"......San Quintin",44,26,1,0,1,0
"......Tayum",105,65,0,0,3,1
"......Tineg",21,14,0,0,2,0
"......Tubo",39,33,0,0,1,1
"......Villaviciosa",50,36,0,0,1,0
"....APAYAO",729,888,4,3,27,30
"......Calanasan (Bayag)",64,39,1,0,5,3
"......Conner",163,187,1,0,1,2
"......Flora",110,76,1,0,3,1
"......Kabugao (Capital)",72,46,0,0,2,0
"......Luna",145,427,0,3,12,22
"......Pudtol",95,61,1,0,3,2
"......Santa Marcela",80,52,0,0,1,0
"....BENGUET",2403,2042,3,1,65,34
"......Atok",124,99,1,0,5,2
"......Bakun",73,50,0,0,1,0
"......Bokod",102,89,0,0,0,0
"......Buguias",183,163,0,0,7,5
"......Itogon",356,231,0,0,10,1
"......Kabayan",69,51,0,0,1,1
"......Kapangan",154,122,0,0,2,2
"......Kibungan",79,55,0,0,3,1
