"Geolocation","Total Deaths Place of Usual Residence","Total Deaths Place of Occurrence","Maternal Deaths Place of Usual Residence","Maternal Deaths Place of Occurrence","Infant Deaths Place of Usual Residence","Infant Deaths Place of Occurrence"
"......La Trinidad (Capital)",618,748,1,1,22,20
"......Mankayan",199,147,0,0,7,1
"......Sablan",85,60,0,0,0,0
"......Tuba",237,137,1,0,2,1
"......Tublay",124,90,0,0,5,0
"....IFUGAO",985,808,4,2,34,16
"......Aguinaldo",75,61,0,0,1,0
"......Alfonso Lista (Potia)",189,159,2,0,8,4
"......Asipulo",52,35,1,0,1,0
"......Banaue",99,75,0,0,7,3
"......Hingyon",65,42,0,0,3,0
"......Hungduan",44,30,0,0,0,0
"......Kiangan",97,66,0,0,1,0
"......Lagawe (Capital)",92,72,1,0,1,1
"......Lamut",150,169,0,2,3,6
"......Mayoyao",55,45,0,0,1,1
"......Tinoc",67,54,0,0,8,1
"....KALINGA",1250,1120,3,2,28,13
"......Balbalan",69,44,0,0,1,0
"......Lubuagan",43,31,0,0,1,1
"......Pasil",44,29,0,0,0,0
"......Pinukpuk",182,116,1,0,3,0
"......Rizal (Liwan)",114,90,0,0,1,0
"......City of Tabuk (Capital)",682,728,1,2,19,11
"......Tanudan",32,15,1,0,1,0
"......Tinglayan",84,67,0,0,2,1
"....MOUNTAIN PROVINCE",933,915,0,0,27,39
"......Barlig",26,19,0,0,1,0
"......Bauko",181,328,0,0,8,33
"......Besao",53,41,0,0,3,1
"......Bontoc (Capital)",184,173,0,0,3,4
"......Natonin",50,34,0,0,1,1
"......Paracelis",131,111,0,0,4,0
"......Sabangan",62,35,0,0,3,0
"......Sadanga",46,32,0,0,2,0
"......Sagada",70,53,0,0,0,0
"......Tadian",130,89,0,0,2,0
"....CITY OF BAGUIO",1969,2919,7,14,49,96
"REGION I (ILOCOS REGION)",41030,40701,61,62,1264,1284
"....ILOCOS NORTE",5098,5391,12,13,127,191
"......Adams",6,2,0,0,2,0
"......Bacarra",294,194,1,0,7,0
"......Badoc",280,185,1,0,6,0
"......Bangui",129,129,0,0,3,1
"......Banna (Espiritu)",174,124,0,0,1,0
"......City of Batac",485,1808,1,11,11,172
"......Burgos",76,42,0,0,5,0
"......Carasi",7,5,0,0,0,0
"......Currimao",124,66,0,0,4,0
"......Dingras",284,203,0,0,11,3
"......Dumalneg",19,16,0,0,0,0
"......City of Laoag (Capital)",906,1030,2,0,20,7
"......Marcos",147,116,0,0,2,1
"......Nueva Era",73,49,1,0,1,0
"......Pagudpud",190,118,1,1,3,0
"......Paoay",220,152,0,0,7,0
"......Pasuquin",240,156,1,0,5,1
"......Piddig",199,146,1,0,6,1
"......Pinili",153,114,1,1,3,1
"......San Nicolas",342,248,0,0,12,2
"......Sarrat",245,152,0,0,6,1
"......Solsona",209,144,0,0,4,0
"......Vintar",296,192,2,0,8,1
"....ILOCOS SUR",5625,5338,4,6,133,88
"......Alilem",54,46,0,0,1,0
"......Banayoyo",67,52,0,0,0,0
"......Bantay",290,604,0,2,8,13
"......Burgos",99,70,1,0,1,0
"......Cabugao",267,230,0,0,12,3
"......City of Candon",499,582,0,0,9,7
"......Caoayan",185,104,0,0,3,0
"......Cervantes",97,78,0,0,1,0
"......Galimuyod",71,35,0,0,0,0
"......Gregorio del Pilar (Concepcion)",42,28,0,0,2,0
"......Lidlidda",45,33,0,0,2,0
"......Magsingal",245,160,0,0,2,0
"......Nagbukel",31,21,1,0,2,1
"......Narvacan",349,351,0,1,7,4
"......Quirino (Angkaki)",71,50,0,0,2,1
"......Salcedo (Baugen)",101,87,0,0,1,0
"......San Emilio",59,39,0,0,0,0
"......San Esteban",69,54,0,0,3,0
"......San Ildefonso",72,42,0,0,1,0
"......San Juan (Lapog)",250,146,0,0,8,3
"......San Vicente",122,76,0,0,1,0
"......Santa",155,104,0,0,4,1
"......Santa Catalina",125,65,0,0,1,0
"......Santa Cruz",296,191,0,0,6,1
"......Santa Lucia",214,174,0,0,6,3
"......Santa Maria",238,183,0,0,6,0
"......Santiago",142,93,0,0,2,0
"......Santo Domingo",236,140,1,0,9,0
"......Sigay",21,14,0,0,0,0
"......Sinait",230,221,1,1,3,4
"......Sugpon",29,19,0,0,1,1
"......Suyo",93,68,0,0,0,0
"......Tagudin",303,374,0,0,14,8
"......City of Vigan (Capital)",458,804,0,2,15,38
"....LA UNION",6157,6451,8,9,175,194
"......Agoo",549,724,0,2,25,23
"......Aringay",403,220,1,0,14,3
"......Bacnotan",340,290,0,0,7,5
"......Bagulin",79,64,1,1,0,0
"......Balaoan",337,334,1,2,9,2
"......Bangar",300,169,1,0,8,0
"......Bauang",592,298,1,0,17,2
"......Burgos",42,26,0,0,0,0
"......Caba",182,155,0,1,4,1
"......Luna",312,183,0,0,5,1
"......Naguilian",418,334,1,0,9,3
"......Pugo",130,80,0,0,0,0
"......Rosario",401,318,0,0,10,5
"......City of San Fernando (Capital)",894,2552,0,3,30,144
"......San Gabriel",117,80,1,0,0,0
"......San Juan",315,188,0,0,15,3
"......Santo Tomas",294,170,0,0,6,0
"......Santol",81,55,0,0,1,0
"......Sudipen",158,92,0,0,3,0
"......Tubao",213,119,1,0,12,2
"....PANGASINAN",24150,23521,37,34,829,811
"......Agno",223,137,0,0,4,0
"......Aguilar",293,194,2,1,8,1
"......City of Alaminos",783,925,2,1,24,23
"......Alcala",364,231,1,0,16,5
"......Anda",318,223,0,0,7,2
"......Asingan",489,359,0,0,14,6
"......Balungao",235,164,0,0,5,0
"......Bani",397,265,1,0,10,3
"......Basista",268,177,0,0,8,1
"......Bautista",246,164,0,0,6,1
"......Bayambang",917,887,2,2,38,17
"......Binalonan",513,329,0,0,15,0
"......Binmaley",733,449,2,0,29,3
"......Bolinao",615,520,0,0,13,4
"......Bugallon",562,359,0,0,24,4
"......Burgos",172,109,0,0,4,2
"......Calasiao",744,456,2,1,27,1
"......City of Dagupan",1421,4584,2,16,58,464
"......Dasol",248,289,0,0,4,2
"......Infanta",193,132,0,0,2,1
"......Labrador",193,128,1,0,9,1
"......Laoac",246,135,0,0,4,0
"......Lingayen (Capital)",929,847,1,1,49,28
"......Mabini",186,110,0,0,7,0
"......Malasiqui",1077,779,0,0,33,5
"......Manaoag",530,378,0,0,21,9
"......Mangaldan",881,529,1,0,39,4
"......Mangatarem",588,518,0,0,16,7
"......Mapandan",323,274,0,0,14,2
"......Natividad",203,149,0,0,6,0
"......Pozorrubio",559,454,1,0,15,2
"......Rosales",505,567,0,0,17,11
"......City of San Carlos",1531,1996,3,6,53,106
"......San Fabian",635,424,0,0,35,7
"......San Jacinto",370,224,0,0,15,3
"......San Manuel",393,289,3,1,9,2
"......San Nicolas",340,226,0,0,16,5
"......San Quintin",258,170,1,0,11,3
"......Santa Barbara",616,400,2,0,19,2
"......Santa Maria",297,187,1,1,9,1
"......Santo Tomas",132,75,1,0,2,0
"......Sison",360,244,1,0,7,1
"......Sual",224,178,0,0,8,3
"......Tayug",365,709,0,0,7,19
"......Umingan",596,490,0,0,20,9
"......Urbiztondo",394,297,0,0,19,8
"......City of Urdaneta",1142,1431,4,4,37,32
"......Villasis",543,360,3,0,16,1
"REGION II (CAGAYAN VALLEY)",24677,24461,40,41,564,573
"....BATANES",139,125,0,0,3,2
"......Basco (Capital)",61,75,0,0,1,2
"......Itbayat",19,16,0,0,0,0
"......Ivana",18,7,0,0,2,0
"......Mahatao",14,10,0,0,0,0
"......Sabtang",18,11,0,0,0,0
"......Uyugan",9,6,0,0,0,0
"....CAGAYAN",9082,9514,16,19,191,213
"......Abulug",234,160,0,0,7,0
"......Alcala",323,232,0,0,4,1
"......Allacapan",235,124,1,0,8,5
"......Amulung",383,260,0,0,7,2
"......Aparri",486,479,0,2,8,17
"......Baggao",541,379,1,0,8,1
"......Ballesteros",300,276,1,1,6,3
"......Buguey",209,137,2,0,3,0
"......Calayan",76,58,0,0,2,2
"......Camalaniugan",183,252,1,0,2,4
"......Claveria",254,140,0,0,6,3
"......Enrile",279,193,1,0,8,3
"......Gattaran",409,308,1,1,11,4
"......Gonzaga",318,277,0,0,7,3
"......Iguig",223,140,0,0,5,0
"......Lal-lo",360,215,1,0,10,2
"......Lasam",306,244,2,0,5,2
"......Pamplona",150,90,0,0,2,0
"......Peñablanca",320,174,1,0,10,2
"......Piat",207,224,1,1,2,1
"......Rizal",141,86,0,0,4,0
"......Sanchez-Mira",232,192,0,0,4,2
"......Santa Ana",232,165,0,0,8,2
"......Santa Praxedes",28,14,0,0,0,0
"......Santa Teresita",126,79,0,0,2,1
"......Santo Niño (Faire)",239,151,0,0,4,2
"......Solana",624,402,0,0,12,2
"......Tuao",466,346,1,0,10,3
"......Tuguegarao City (Capital)",1198,3717,2,14,26,146
"....ISABELA",11182,10657,20,19,264,264
"......Alicia",540,489,1,1,11,4
"......Angadanan",296,209,0,0,6,2
"......Aurora",262,195,1,1,1,0
"......Benito Soliven",191,125,0,0,5,1
"......Burgos",184,127,0,0,1,0
"......Cabagan",324,290,1,1,5,3
"......Cabatuan",268,207,0,0,6,5
"......City of Cauayan",974,1195,2,1,24,15
"......Cordon",315,225,3,2,5,2
"......Delfin Albano (Magsaysay)",198,170,0,0,2,2
"......Dinapigue",22,19,0,0,1,1
"......Divilacan",25,21,0,0,0,0
"......Echague",542,424,0,0,15,5
"......Gamu",214,129,0,0,6,2
"......City of Ilagan (Capital)",881,1007,4,3,15,26
"......Jones",353,268,0,0,10,4
"......Luna",147,93,1,0,6,0
"......Maconacon",22,16,0,0,1,0
"......Mallig",201,138,0,0,7,2
"......Naguilian",230,181,2,0,8,3
"......Palanan",83,69,1,0,4,2
"......Quezon",191,159,0,0,2,2
"......Quirino",170,121,0,0,0,0
"......Ramon",424,281,0,0,15,5
"......Reina Mercedes",160,93,0,0,4,1
"......Roxas",433,505,0,0,10,12
"......San Agustin",176,140,0,0,1,0
"......San Guillermo",122,91,1,0,0,0
"......San Isidro",175,110,0,0,6,2
"......San Manuel",225,155,0,0,7,2
"......San Mariano",305,250,0,0,8,2
"......San Mateo",485,378,1,1,7,2
"......San Pablo",154,85,0,0,6,2
"......Santa Maria",169,117,1,1,7,2
"......City of Santiago",1143,2151,1,8,41,150
"......Santo Tomas",171,113,0,0,3,0
"......Tumauini",407,311,0,0,8,3
"....NUEVA VIZCAYA",2998,3056,2,1,64,70
"......Alfonso Castañeda",42,28,1,0,1,0
"......Ambaguio",42,27,0,0,4,1
"......Aritao",255,174,0,0,4,2
"......Bagabag",290,166,0,0,7,1
"......Bambang",354,335,0,0,6,7
"......Bayombong (Capital)",480,1265,0,0,8,47
"......Diadi",106,73,0,0,1,1
"......Dupax del Norte",196,166,0,0,7,1
"......Dupax del Sur",112,68,0,0,2,0
"......Kasibu",157,98,0,0,5,3
"......Kayapa",132,106,1,1,4,3
"......Quezon",129,77,0,0,2,0
"......Santa Fe",105,68,0,0,0,0
"......Solano",468,328,0,0,9,2
"......Villaverde",130,77,0,0,4,2
"....QUIRINO",1276,1109,2,2,42,24
"......Aglipay",176,116,0,0,4,0
"......Cabarroguis (Capital)",241,425,0,2,9,12
"......Diffun",365,221,1,0,12,6
"......Maddela",249,205,1,0,7,5
"......Nagtipunan",128,75,0,0,5,1
"......Saguday",117,67,0,0,5,0
"REGION III (CENTRAL LUZON)",83636,81523,204,199,2808,2717
"....AURORA",1501,1204,6,0,51,15
"......Baler (Capital)",283,441,2,0,7,6
"......Casiguran",190,152,0,0,4,2
"......Dilasag",93,61,0,0,7,4
"......Dinalungan",81,56,1,0,3,0
"......Dingalan",161,108,0,0,6,1
"......Dipaculao",218,128,1,0,7,0
"......Maria Aurora",308,186,1,0,7,2
"......San Luis",167,72,1,0,10,0
"....BATAAN",5585,5520,9,8,230,240
"......Abucay",324,155,0,0,10,0
"......Bagac",229,136,1,0,6,1
"......City of Balanga (Capital)",717,2746,1,8,19,198
"......Dinalupihan",827,542,3,0,35,14
"......Hermosa",487,266,0,0,24,2
"......Limay",462,218,2,0,24,4
"......Mariveles",843,476,0,0,50,6
"......Morong",220,142,0,0,12,5
"......Orani",499,330,1,0,17,6
"......Orion",400,258,1,0,9,0
"......Pilar",277,115,0,0,14,1
"......Samal",300,136,0,0,10,3
"....BULACAN",24729,21793,63,58,1148,992
"......Angat",466,271,2,0,25,4
"......Balagtas (Bigaa)",527,320,0,0,16,1
"......Baliuag",1191,1338,5,4,52,39
"......Bocaue",961,834,4,3,38,21
"......Bulacan",650,486,1,1,16,3
"......Bustos",510,345,2,1,19,5
"......Calumpit",805,562,2,0,23,13
"......Doña Remedios Trinidad",142,64,3,0,10,1
"......Guiguinto",696,450,2,0,42,11
"......Hagonoy",1032,837,1,0,40,13
"......City of Malolos (Capital)",1921,4667,3,21,98,636
"......Marilao",1440,769,6,2,90,14
"......City of Meycauayan",1571,1107,3,0,90,21
"......Norzagaray",865,660,3,4,43,13
"......Obando",453,257,2,0,9,0
"......Pandi",901,491,2,0,57,7
"......Paombong",421,243,0,0,18,4
"......Plaridel",837,601,0,2,45,11
"......Pulilan",722,577,1,0,42,11
"......San Ildefonso",753,554,1,2,46,12
"......City of San Jose del Monte",4046,3346,13,10,172,99
"......San Miguel",1098,845,1,1,34,8
"......San Rafael",730,390,0,0,33,2
"......Santa Maria",1991,1779,6,7,90,43
"....NUEVA ECIJA",16191,16529,43,48,452,538
"......Aliaga",490,301,0,0,11,4
"......Bongabon",453,296,1,1,10,2
"......City of Cabanatuan",2238,6244,4,38,86,426
"......Cabiao",510,390,2,0,8,1
"......Carranglan",242,164,0,0,4,1
"......Cuyapo",558,426,2,0,10,2
"......Gabaldon (Bitulok & Sabani)",236,170,0,0,9,2
"......City of Gapan",909,761,3,0,31,19
"......General Mamerto Natividad",262,165,1,0,1,0
"......General Tinio (Papaya)",334,211,1,0,7,4
"......Guimba",966,777,1,1,38,7
"......Jaen",581,363,2,0,8,0
"......Laur",241,157,1,1,9,2
"......Licab",191,123,1,0,4,2
"......Llanera",255,146,0,0,5,1
"......Lupao",346,214,2,1,19,6
"......Science City of Muñoz",651,393,3,0,27,5
"......Nampicuan",99,73,0,0,1,0
"......City of Palayan (Capital)",303,167,2,0,7,2
"......Pantabangan",212,165,2,0,3,2
"......Peñaranda",229,152,0,0,4,1
"......Quezon",281,165,1,0,5,0
"......Rizal",456,296,0,0,13,2
"......San Antonio",589,432,0,0,7,2
"......San Isidro",413,319,1,1,4,1
"......San Jose City",1172,1073,5,1,44,16
"......San Leonardo",470,593,0,2,12,16
"......Santa Rosa",532,319,3,0,12,0
"......Santo Domingo",478,306,1,0,15,1
"......Talavera",968,819,4,2,26,11
"......Talugtug",167,120,0,0,3,0
"......Zaragoza",359,229,0,0,9,0
"....PAMPANGA",15276,16279,34,36,321,353
"......Apalit",777,653,3,0,12,8
"......Arayat",915,786,1,1,28,16
"......Bacolor",290,135,0,0,7,0
"......Candaba",693,496,1,0,8,3
"......Floridablanca",783,685,0,0,12,8
"......Guagua",876,983,1,0,13,9
"......Lubao",1124,881,0,0,25,10
"......Mabalacat City",1844,1465,10,8,61,29
"......Macabebe",459,382,2,2,8,2
"......Magalang",752,644,2,0,15,11
"......Masantol",364,264,1,0,6,2
"......Mexico",971,605,4,2,18,5
"......Minalin",333,186,1,0,6,0
"......Porac",900,639,2,0,32,13
"......City of San Fernando (Capital)",2214,6205,4,23,46,230
"......San Luis",322,253,0,0,4,1
"......San Simon",390,249,1,0,6,0
"......Santa Ana",364,223,1,0,3,0
"......Santa Rita",355,218,0,0,3,2
"......Santo Tomas",327,218,0,0,5,4
"......Sasmuan (Sexmoan)",223,109,0,0,3,0
"....TARLAC",10978,10985,17,17,341,350
"......Anao",127,84,0,0,1,0
"......Bamban",564,329,0,0,23,5
"......Camiling",745,758,1,1,21,7
"......Capas",906,832,3,2,37,26
"......Concepcion",1160,902,1,0,44,18
"......Gerona",767,571,1,0,17,4
"......La Paz",491,367,0,0,16,6
"......Mayantoc",241,162,1,0,6,1
"......Moncada",482,347,1,0,12,2
"......Paniqui",790,674,1,0,14,9
"......Pura",222,149,0,0,4,1
"......Ramos",173,122,0,0,2,1
"......San Clemente",114,67,0,0,2,1
"......San Jose",213,137,1,0,4,0
"......San Manuel",200,157,0,0,6,4
"......Santa Ignacia",394,247,0,0,10,1
"......City of Tarlac (Capital)",2828,4719,6,13,106,261
"......Victoria",561,361,1,1,16,3
"....ZAMBALES",4607,4137,23,23,127,106
"......Botolan",419,253,1,0,12,4
"......Cabangan",224,132,1,0,9,1
"......Candelaria",243,364,1,1,11,12
"......Castillejos",429,200,2,0,15,2
"......Iba (Capital)",400,1100,5,11,15,62
"......Masinloc",378,184,1,0,12,2
"......Palauig",269,119,1,0,9,1
"......San Antonio",297,178,1,1,3,0
"......San Felipe",215,137,3,0,3,2
"......San Marcelino",292,606,1,7,3,13
"......San Narciso",245,147,1,0,3,0
"......Santa Cruz",441,357,2,2,11,5
"......Subic",755,360,3,1,21,2
"....CITY OF ANGELES",3020,2900,5,4,90,67
"....CITY OF OLONGAPO",1749,2176,4,5,48,56
"REGION IV-A (CALABARZON)",103287,93944,295,258,3622,2964
"....BATANGAS",19325,20365,39,39,633,716
"......Agoncillo",228,155,0,0,5,2
"......Alitagtag",210,125,0,0,2,0
"......Balayan",710,1006,1,3,24,44
"......Balete",125,96,0,0,4,1
"......Batangas City (Capital)",2446,5011,3,16,54,328
"......Bauan",616,564,0,2,17,17
"......Calaca",586,404,1,1,17,1
"......Calatagan",395,327,2,0,8,4
"......Cuenca",270,247,1,0,1,2
"......Ibaan",384,299,1,0,15,3
"......Laurel",254,188,1,0,14,5
"......Lemery",622,970,2,5,10,35
"......Lian",386,218,1,1,9,1
"......City of Lipa",2469,2643,3,4,106,81
"......Lobo",301,242,0,0,7,3
"......Mabini",283,221,0,0,7,1
"......Malvar",376,206,0,0,14,2
"......Mataas na Kahoy",181,102,1,0,3,1
"......Nasugbu",959,1020,3,2,37,33
"......Padre Garcia",329,250,1,2,16,3
"......Rosario",824,735,3,0,26,29
"......San Jose",549,521,2,1,22,13
"......San Juan",803,699,3,1,18,11
"......San Luis",248,156,0,0,5,0
"......San Nicolas",143,90,0,0,6,2
"......San Pascual",459,407,0,0,10,8
"......Santa Teresita",142,74,1,0,5,2
"......City of Sto. Tomas",1048,865,1,0,57,23
"......Taal",458,332,1,1,12,4
"......Talisay",348,316,1,0,18,7
"......City of Tanauan",1396,1359,3,0,62,46
"......Taysan",285,185,0,0,8,0
"......Tingloy",119,90,2,0,3,1
"......Tuy",373,242,1,0,11,3
"....CAVITE",25821,22255,83,78,937,634
"......Alfonso",475,333,1,0,15,3
"......Amadeo",300,189,2,0,2,1
"......City of Bacoor",3678,2505,5,3,110,60
"......Carmona",549,521,0,1,13,9
"......City of Cavite",941,683,0,1,22,16
"......City of Dasmariñas",4193,4325,13,14,111,101
"......Gen. Mariano Alvarez",1200,804,4,1,60,21
"......General Emilio Aguinaldo",190,106,2,0,9,2
"......City of General Trias",2245,1912,7,6,104,42
"......City of Imus",2654,2353,2,3,98,55
"......Indang",540,342,2,1,18,3
"......Kawit",689,671,3,2,25,22
"......Magallanes",182,127,0,0,3,0
"......Maragondon",285,178,4,1,10,3
"......Mendez (Mendez-Nuñez)",275,178,0,1,4,0
"......Naic",1160,905,10,7,61,21
"......Noveleta",304,197,0,0,12,4
"......Rosario",748,489,6,1,34,4
"......Silang",1668,1309,3,4,73,24
"......City of Tagaytay",500,672,0,0,12,11
"......Tanza",1711,1364,6,2,75,27
"......Ternate",164,105,0,0,6,1
"......City of Trece Martires (Capital)",1170,1987,13,30,60,204
"....LAGUNA",21667,19856,58,51,705,549
"......Alaminos",354,221,0,0,3,2
"......Bay",470,611,1,1,9,12
"......City of Biñan",1997,1943,6,3,66,60
"......City of Cabuyao",1751,1455,3,3,82,48
"......City of Calamba",3184,2883,9,8,138,121
"......Calauan",558,315,4,0,19,5
"......Cavinti",186,119,0,0,1,0
"......Famy",119,109,1,1,11,5
"......Kalayaan",170,94,2,0,2,0
"......Liliw",291,172,2,0,6,1
"......Los Baños",878,773,1,0,28,14
"......Luisiana",161,159,0,0,1,1
"......Lumban",273,185,2,1,1,1
"......Mabitac",155,106,0,0,3,0
"......Magdalena",196,126,1,0,9,2
"......Majayjay",213,186,0,0,7,4
"......Nagcarlan",473,398,3,1,9,2
"......Paete",220,143,0,0,4,3
"......Pagsanjan",338,251,0,0,11,3
"......Pakil",172,381,0,1,2,13
"......Pangil",191,114,0,0,3,0
"......Pila",461,317,1,1,7,0
"......Rizal",118,64,0,0,1,1
"......City of San Pablo",2189,2403,2,3,55,57
"......City of San Pedro",2466,1698,10,6,95,45
"......Santa Cruz (Capital)",975,1895,1,11,27,89
"......Santa Maria",212,148,0,0,6,2
"......City of Santa Rosa",2332,2188,8,11,81,53
"......Siniloan",262,182,0,0,9,2
"......Victoria",302,217,1,0,9,3
"....QUEZON",13581,11114,38,25,480,284
"......Agdangan",113,76,0,0,0,0
"......Alabat",149,182,0,0,6,3
"......Atimonan",583,478,1,1,14,12
"......Buenavista",194,125,0,0,10,4
"......Burdeos",114,81,0,0,9,3
"......Calauag",508,399,1,1,12,8
"......Candelaria",976,1044,0,1,27,22
"......Catanauan",492,476,2,2,23,25
"......Dolores",227,155,1,0,5,1
"......General Luna",189,142,1,0,5,2
"......General Nakar",163,86,0,0,9,2
"......Guinayangan",284,212,2,1,2,3
"......Gumaca",580,645,1,2,20,20
"......Infanta",534,636,3,3,20,22
"......Jomalig",34,25,0,0,0,0
"......Lopez",670,725,2,2,30,31
"......Lucban",387,311,2,0,13,4
"......Macalelon",174,123,0,0,10,4
"......Mauban",499,385,3,1,24,14
"......Mulanay",351,247,0,0,13,5
"......Padre Burgos",164,98,0,0,7,0
"......Pagbilao",560,263,2,0,20,3
"......Panukulan",82,45,0,0,5,4
"......Patnanungan",64,46,0,0,0,0
"......Perez",84,52,0,0,3,0
"......Pitogo",182,109,0,0,2,0
"......Plaridel",84,43,0,0,4,1
"......Polillo",222,215,1,1,8,8
"......Quezon",126,75,0,0,1,0
"......Real",255,135,2,0,7,2
"......Sampaloc",129,101,0,0,6,2
"......San Andres",238,197,1,1,9,7
"......San Antonio",230,134,0,0,13,2
"......San Francisco (Aurora)",404,338,5,3,18,15
"......San Narciso",350,312,2,4,23,17
"......Sariaya",1115,740,2,0,25,4
"......Tagkawayan",407,325,0,0,17,10
"......City of Tayabas",754,663,3,1,30,9
"......Tiaong",725,460,1,1,18,7
"......Unisan",185,210,0,0,12,8
"....RIZAL",20673,16254,73,48,736,485
"......Angono",900,830,5,4,30,33
"......City of Antipolo (Capital)",5351,4141,19,14,212,139
"......Baras",452,233,3,0,15,4
"......Binangonan",2201,2178,5,4,75,63
"......Cainta",2326,1729,7,5,65,32
"......Cardona",404,298,1,0,12,4
"......Jala-Jala",257,249,1,1,7,3
"......Morong",533,726,2,5,13,45
"......Pililla",477,301,3,0,14,1
"......Rodriguez (Montalban)",2484,1986,6,5,113,83
"......San Mateo",1693,1048,6,5,62,29
"......Tanay",888,623,4,1,26,8
"......Taytay",2242,1598,10,3,71,32
"......Teresa",465,314,1,1,21,9
"....CITY OF LUCENA",2220,4100,4,17,131,296
"MIMAROPA REGION",19233,18726,71,67,660,634
"....MARINDUQUE",1789,1644,3,2,43,38
"......Boac (Capital)",432,597,1,2,16,28
"......Buenavista",165,112,1,0,2,0
"......Gasan",235,162,0,0,7,1
"......Mogpog",267,180,1,0,4,0
"......Santa Cruz",441,383,0,0,7,4
"......Torrijos",249,210,0,0,7,5
"....OCCIDENTAL MINDORO",3022,2863,19,18,119,107
"......Abra de Ilog",154,109,1,1,8,2
"......Calintaan",181,119,0,0,4,1
"......Looc",55,41,0,0,0,0
"......Lubang",132,126,0,0,3,2
"......Magsaysay",222,162,2,1,5,1
"......Mamburao (Capital)",270,403,2,3,23,45
"......Paluan",94,68,1,1,6,2
"......Rizal",268,173,1,0,8,3
"......Sablayan",520,505,4,3,28,26
"......San Jose",895,996,6,8,24,25
"......Santa Cruz",231,161,2,1,10,0
"....ORIENTAL MINDORO",5757,5676,12,11,213,211
"......Baco",252,172,0,0,17,10
"......Bansud",284,196,0,0,12,1
"......Bongabong",447,342,0,0,18,7
"......Bulalacao (San Pedro)",212,168,3,2,13,8
"......City of Calapan (Capital)",961,1845,1,5,32,122
"......Gloria",318,192,0,0,8,1
"......Mansalay",303,213,1,0,9,5
"......Naujan",728,516,0,0,26,3
"......Pinamalayan",618,751,3,1,18,26
"......Pola",254,162,0,0,12,3
"......Puerto Galera",239,161,2,1,6,3
"......Roxas",367,381,1,1,11,10
"......San Teodoro",101,78,1,1,5,2
"......Socorro",294,222,0,0,13,6
"......Victoria",379,277,0,0,13,4
"....PALAWAN",4693,4059,27,16,161,116
